Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	-2.40204645554621e-01,-4.77275347795838e-02	-2.40204645779994e-01,-4.77275336453178e-02	-2.40204645908224e-01,-4.77275329999625e-02	-2.40204645682460e-01,-4.77275341361925e-02
1.00101998039961e+01	-2.49687872419590e-01,-5.04690376610127e-05	-2.49687872476051e-01,-4.92887884161546e-05	-2.49687872698233e-01,-4.86172703558874e-05	-2.49687872535632e-01,-4.97995631852587e-05
2.00103996079922e+01	-2.49687880060600e-01,-2.66076697084892e-05	-2.49687879584341e-01,-2.42483499259153e-05	-2.49687880072841e-01,-2.29059844043847e-05	-2.49687880126179e-01,-2.52693893400207e-05
3.00105994119882e+01	-2.49687881869967e-01,-1.92529603708393e-05	-2.49687880506079e-01,-1.57145695267878e-05	-2.49687881438322e-01,-1.37013561627320e-05	-2.49687881851464e-01,-1.72458737791702e-05
4.00107992159843e+01	-2.49687882967509e-01,-1.60280135884779e-05	-2.49687880361080e-01,-1.13105508780816e-05	-2.49687881914494e-01,-8.62648908869459e-06	-2.49687882831303e-01,-1.33521202669825e-05
5.00109990199804e+01	-2.49687883984696e-01,-1.44554661452863e-05	-2.49687879780814e-01,-8.55893049186529e-06	-2.49687882132826e-01,-5.20401949807685e-06	-2.49687883697167e-01,-1.11107654164675e-05
6.00111988239765e+01	-2.49687885077373e-01,-1.37092560064216e-05	-2.49687878921126e-01,-6.63364606303334e-06	-2.49687882249164e-01,-2.60788489038866e-06	-2.49687884604901e-01,-9.69574702279847e-06
7.00113986279726e+01	-2.49687886298998e-01,-1.34352906023085e-05	-2.49687877835472e-01,-5.18060475217556e-06	-2.49687882316963e-01,-4.83992231098156e-07	-2.49687885607963e-01,-8.75297234664839e-06
8.00115984319686e+01	-2.49687887671926e-01,-1.34565018654459e-05	-2.49687876546205e-01,-4.02273822213355e-06	-2.49687882358577e-01,1.34472701199536e-06	-2.49687886728706e-01,-8.10537315087082e-06
9.00117982359647e+01	-2.49687889206769e-01,-1.36745084566061e-05	-2.49687875063936e-01,-3.06166486410059e-06	-2.49687882384618e-01,2.97665464269419e-06	-2.49687887977744e-01,-7.65456792663829e-06
1.00011998039961e+02	-2.49687890909176e-01,-1.40302785341738e-05	-2.49687873394312e-01,-2.23835256689732e-06	-2.49687882400732e-01,4.47082296715730e-06	-2.49687889360725e-01,-7.34152466273541e-06
1.10012197843957e+02	-2.49687892782269e-01,-1.44862441678963e-05	-2.49687871540452e-01,-1.51523313075059e-06	-2.49687882410040e-01,5.86480038012307e-06	-2.49687890880769e-01,-7.12867525934122e-06
1.20012397647953e+02	-2.49687894828084e-01,-1.50173598218479e-05	-2.49687869504390e-01,-8.67260750194145e-07	-2.49687882414577e-01,7.18363288201820e-06	-2.49687892539913e-01,-6.99097401095429e-06
