Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	1.38003998650228e-12,-4.74330108078408e-08	1.38012258091339e-12,-4.63423308685812e-08	1.37954825032770e-12,-4.50616362866903e-08	1.37961303994125e-12,-4.58129035767209e-08
1.00101998039961e+01	1.38286427759546e-06,-4.74819550767930e-05	1.38294703995335e-06,-4.63901630964638e-05	1.38237153519337e-06,-4.51081586568900e-05	1.38243645832850e-06,-4.58601898857026e-05
2.00103996079922e+01	5.52602399301742e-06,-9.49198516753922e-05	5.52635470429469e-06,-9.27373609761152e-05	5.52405496082959e-06,-9.01746113880002e-05	5.52431440940242e-06,-9.16779085712634e-05
3.00105994119882e+01	1.24297542379001e-05,-1.42364494545138e-04	1.24304980621877e-05,-1.39091310287521e-04	1.24253252749933e-05,-1.35247772762723e-04	1.24259088975150e-05,-1.37502307898719e-04
4.00107992159843e+01	2.20945111264572e-05,-1.89819256577999e-04	2.20958331902625e-05,-1.85455386502419e-04	2.20866384368305e-05,-1.80330996863358e-04	2.20876759587102e-05,-1.83336727952592e-04
5.00109990199804e+01	3.45209332501869e-05,-2.37287512396268e-04	3.45229986273961e-05,-2.31832966823777e-04	3.45086328207425e-05,-2.25427639496162e-04	3.45102540750593e-05,-2.29184510536666e-04
6.00111988239765e+01	4.97098417824188e-05,-2.84772638929982e-04	4.97128154792487e-05,-2.78227430763515e-04	4.96921293209061e-05,-2.70541058766651e-04	4.96944642792068e-05,-2.75048999747721e-04
7.00113986279726e+01	6.76622406127812e-05,-3.32278015995081e-04	6.76662875527177e-05,-3.24642160720970e-04	6.76381314857061e-05,-3.15674615655632e-04	6.76413102888354e-05,-3.20933542549994e-04
8.00115984319686e+01	8.83793165116203e-05,-3.79807026872458e-04	8.83846015203410e-05,-3.71080542562241e-04	8.83478256821134e-05,-3.60831674596122e-04	8.83519786710836e-05,-3.66841489350533e-04
9.00117982359647e+01	1.11862439324438e-04,-4.27363058888132e-04	1.11869127114715e-04,-4.17545966200670e-04	1.11822581290072e-04,-4.06015604051392e-04	1.11827839036980e-04,-4.12776194575666e-04
1.00011998039961e+02	1.38113162196380e-04,-4.74949503994639e-04	1.38121417352960e-04,-4.64041826178540e-04	1.38063950926928e-04,-4.51229777094227e-04	1.38070444265929e-04,-4.58741017248685e-04
1.10012197843957e+02	1.67133221826872e-04,-5.22569759353933e-04	1.67143208791334e-04,-5.10571522250274e-04	1.67073670702006e-04,-4.96477571987683e-04	1.67081530760342e-04,-5.04739321569032e-04
1.20012397647953e+02	1.98924538754460e-04,-5.70227227921896e-04	1.98936421810039e-04,-5.57138459967250e-04	1.98853660501369e-04,-5.41762372767458e-04	1.98863018730477e-04,-5.50774477493080e-04
1.30012597451949e+02	2.33489217671949e-04,-6.17925319034684e-04	2.33503160928336e-04,-6.03746051264462e-04	2.33406024302884e-04,-5.87087569826091e-04	2.33417012509571e-04,-5.96849861316754e-04
1.40012797255945e+02	2.70829547771944e-04,-6.65667448997093e-04	2.70845715150045e-04,-6.50397715049176e-04	2.70733050521668e-04,-6.32456560499163e-04	2.70745800899376e-04,-6.42968856260143e-04
1.50012997059941e+02	3.10948003122872e-04,-7.13457041673095e-04	3.10966558339534e-04,-6.97096877791790e-04	3.10837212386018e-04,-6.77872749653693e-04	3.10851857546175e-04,-6.89134853054302e-04
1.60013196863937e+02	3.53847243075641e-04,-7.61297529078808e-04	3.53868349628336e-04,-7.43846974119097e-04	3.53721168343964e-04,-7.23339550278916e-04	3.53737841347443e-04,-7.35351250530438e-04
1.70013396667933e+02	3.99530112701005e-04,-8.09192351977986e-04	3.99553933852467e-04,-7.90651447410095e-04	3.99387762500523e-04,-7.68860384079628e-04	3.99406596889196e-04,-7.81621456211639e-04
1.80013596471929e+02	4.47999643257834e-04,-8.57144960480334e-04	4.48026342020662e-04,-8.37513750394612e-04	4.47840025085852e-04,-8.14438682072290e-04	4.47861154914264e-04,-8.27948886907391e-04
1.90013796275926e+02	4.99259052692369e-04,-9.05158814642740e-04	4.99288791813565e-04,-8.84437345754830e-04	4.99081172954369e-04,-8.60077885184090e-04	4.99104732821538e-04,-8.74336969311004e-04
2.00013996079922e+02	5.53311746168645e-04,-9.53237385073664e-04	5.53344688114104e-04,-9.31425706730015e-04	5.53114610115047e-04,-9.05781444855128e-04	5.53140735196379e-04,-9.20789140600200e-04
2.10014195883918e+02	6.10161316630284e-04,-1.00138415354092e-03	6.10197623569237e-04,-9.78482317724597e-04	6.09943928293062e-04,-9.51552823643990e-04	6.09972754372419e-04,-9.67308849041033e-04
2.20014395687914e+02	6.69811545393683e-04,-1.04960261358293e-03	6.69851379183072e-04,-1.02561067491972e-03	6.69572907522828e-04,-9.97395495836765e-04	6.69604571024732e-04,-1.01389955459531e-03
2.30014595491910e+02	7.32266402773036e-04,-1.09789627112379e-03	7.32309924941824e-04,-1.07281428688868e-03	7.32005516772861e-04,-1.04331294805993e-03	7.32040154794849e-04,-1.06056472953180e-03
2.40014795295906e+02	7.97530048737072e-04,-1.14626864509223e-03	7.97577420470501e-04,-1.12009667521613e-03	7.97245914602351e-04,-1.08930867989701e-03	7.97283664947498e-04,-1.10730785904127e-03
2.50014995099902e+02	8.65606833597953e-04,-1.19472326804476e-03	8.65658215721720e-04,-1.16746137512159e-03	8.65298449849887e-04,-1.13538620450952e-03	8.65339451059489e-04,-1.15413244185575e-03
2.60015194903898e+02	9.36501298732489e-04,-1.24326368679314e-03	9.36556851696858e-04,-1.21491193608725e-03	9.36167662354479e-04,-1.18154904926216e-03	9.36212053740916e-04,-1.20104199087207e-03
2.70015394707894e+02	1.01021817733573e-03,-1.29189346303641e-03	1.01027806119956e-03,-1.26245192249026e-03	1.00985828370897e-03,-1.22780075635254e-03	1.00990620538875e-03,-1.24804003377994e-03
2.80015594511890e+02	1.08676239520744e-03,-1.34061617399772e-03	1.08682676962216e-03,-1.31008491423998e-03	1.08637523804631e-03,-1.27414488344577e-03	1.08642683097333e-03,-1.29513011369482e-03
2.90015794315886e+02	1.16613907157148e-03,-1.38943541306612e-03	1.16620809576494e-03,-1.35781450741997e-03	1.16572364285872e-03,-1.32058500431387e-03	1.16577904885767e-03,-1.34231578979565e-03
3.00015994119882e+02	1.24835351992842e-03,-1.43835479044348e-03	1.24842735268870e-03,-1.40564431493537e-03	1.24790880985010e-03,-1.36712470948051e-03	1.24796817165014e-03,-1.38960063796787e-03
3.10016193923878e+02	1.33341124894169e-03,-1.48737793379696e-03	1.33349004860078e-03,-1.45357796716561e-03	1.33293624582196e-03,-1.41376760687097e-03	1.33299970709057e-03,-1.43698825145173e-03
3.20016393727874e+02	1.42131796335745e-03,-1.53650848891700e-03	1.42140188777487e-03,-1.50161911262274e-03	1.42081165359302e-03,-1.46051732246792e-03	1.42087935897013e-03,-1.48448224149623e-03
3.30016593531870e+02	1.51207956495858e-03,-1.58575012038117e-03	1.51216877150493e-03,-1.54977141861566e-03	1.51154093295305e-03,-1.50737750097284e-03	1.51161302808530e-03,-1.53208623801896e-03
3.40016793335867e+02	1.60570215355302e-03,-1.63510651222418e-03	1.60579679909332e-03,-1.59803857192043e-03	1.60513018165083e-03,-1.55435180647367e-03	1.60520681322621e-03,-1.57980389027186e-03
3.50016993139863e+02	1.70219202799669e-03,-1.68458136861408e-03	1.70229226887376e-03,-1.64642427945682e-03	1.70158569641691e-03,-1.60144392311862e-03	1.70166701219956e-03,-1.62763886751331e-03
3.60017192943859e+02	1.80155568725147e-03,-1.73417841453512e-03	1.80166167926911e-03,-1.69493226897148e-03	1.80091397402132e-03,-1.64865755579655e-03	1.80100012288659e-03,-1.67559485968684e-03
3.70017392747855e+02	1.90379983147848e-03,-1.78390139647728e-03	1.90391172988456e-03,-1.74356628972787e-03	1.90312171236652e-03,-1.69599643082416e-03	1.90321284433636e-03,-1.72367557810637e-03
3.80017592551851e+02	2.00893136316714e-03,-1.83375408313289e-03	2.00904932263660e-03,-1.79233011320320e-03	2.00821581161622e-03,-1.74346429664011e-03	2.00831207789478e-03,-1.77188475614865e-03
3.90017792355847e+02	2.11695738829990e-03,-1.88374026610051e-03	2.11708156291763e-03,-1.84122753379261e-03	2.11620337535983e-03,-1.79106492450637e-03	2.11630492836941e-03,-1.82022614995275e-03
4.00017992159843e+02	2.22788521755369e-03,-1.93386376059621e-03	2.22801576079725e-03,-1.89026236952087e-03	2.22709171181354e-03,-1.83880210921710e-03	2.22719870523081e-03,-1.86870353912712e-03
4.10018191963839e+02	2.34172236753801e-03,-1.98412840617273e-03	2.34185943226028e-03,-1.93943846276187e-03	2.34088833505818e-03,-1.88667966981523e-03	2.34100092385068e-03,-1.91732072746435e-03
4.20018391767835e+02	2.45847656207015e-03,-2.03453806744661e-03	2.45862030048179e-03,-1.98875968096609e-03	2.45760096631408e-03,-1.93470145031708e-03	2.45771930677707e-03,-1.96608154366389e-03
4.30018591571831e+02	2.57815573348788e-03,-2.08509663483352e-03	2.57830629713975e-03,-2.03822991739632e-03	2.57723753525348e-03,-1.98287132044510e-03	2.57736178504713e-03,-2.01498984206297e-03
4.40018791375827e+02	2.70076802400045e-03,-2.13580802529225e-03	2.70092556376579e-03,-2.08785309187196e-03	2.69980618135107e-03,-2.03119317636929e-03	2.69993649953798e-03,-2.06404950337607e-03
4.50018991179823e+02	2.82632178707741e-03,-2.18667618307736e-03	2.82648645313393e-03,-2.13763315152211e-03	2.82531525527264e-03,-2.07967094145728e-03	2.82545180235560e-03,-2.11326443544313e-03
4.60019190983819e+02	2.95482558887685e-03,-2.23770508050105e-03	2.95499753068872e-03,-2.18757407154772e-03	2.95377332030283e-03,-2.12830856703347e-03	2.95391625826317e-03,-2.16263857398679e-03
4.70019390787815e+02	3.08628820971266e-03,-2.28889871870418e-03	3.08646757601226e-03,-2.23767985599309e-03	3.08518915381206e-03,-2.17711003314747e-03	3.08533864614812e-03,-2.21217588337886e-03
4.80019590591811e+02	3.22071864556139e-03,-2.34026112843718e-03	3.22090558433099e-03,-2.28795453852702e-03	3.21957174876313e-03,-2.22607934935229e-03	3.21972796052923e-03,-2.26188035741651e-03
4.90019790395807e+02	3.35812610960999e-03,-2.39179637085059e-03	3.35832076806321e-03,-2.33840218323389e-03	3.35693031525834e-03,-2.27522055549222e-03	3.35709341310417e-03,-2.31175602010826e-03
5.00019990199803e+02	3.49852003384336e-03,-2.44350853829613e-03	3.49872255840652e-03,-2.38902688541493e-03	3.49727428212688e-03,-2.32453772250104e-03	3.49744443433721e-03,-2.36180692647013e-03
5.10020190003799e+02	3.64191007067415e-03,-2.49540175513796e-03	3.64212060696743e-03,-2.43983277240002e-03	3.64061329855413e-03,-2.37403495321064e-03	3.64079067508893e-03,-2.41203716333224e-03
5.20020389807795e+02	3.78830609461357e-03,-2.54748017857498e-03	3.78852478743199e-03,-2.49082400437034e-03	3.78695723575204e-03,-2.42371638317045e-03	3.78714200828710e-03,-2.46245085015628e-03
5.30020589611792e+02	3.93771820398498e-03,-2.59974799947419e-03	3.93794519727926e-03,-2.54200477519203e-03	3.93631618867236e-03,-2.47358618147797e-03	3.93650853064027e-03,-2.51305213986386e-03
