Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	-2.40204645240476e-01,-4.77275356179588e-02	-2.40204645211893e-01,-4.77275357618113e-02	-2.40204645343121e-01,-4.77275351013675e-02	-2.40204645365029e-01,-4.77275349911071e-02
1.00101998039961e+01	-2.49687872739426e-01,-4.98047250538008e-05	-2.49687872470684e-01,-4.99544093467662e-05	-2.49687872717923e-01,-4.92671910640856e-05	-2.49687872853145e-01,-4.91524607456206e-05
2.00103996079922e+01	-2.49687880454442e-01,-2.52797034027783e-05	-2.49687879469563e-01,-2.55789225643737e-05	-2.49687880048852e-01,-2.42051722734470e-05	-2.49687880520970e-01,-2.39758261807729e-05
3.00105994119882e+01	-2.49687882387101e-01,-1.72613406450025e-05	-2.49687880208979e-01,-1.77100948703314e-05	-2.49687881341536e-01,-1.56498121743834e-05	-2.49687882375000e-01,-1.53058501843188e-05
4.00107992159843e+01	-2.49687883657223e-01,-1.33727391736354e-05	-2.49687879808749e-01,-1.39710287577580e-05	-2.49687881715795e-01,-1.12242130504508e-05	-2.49687883535053e-01,-1.07656349763786e-05
5.00109990199804e+01	-2.49687884896304e-01,-1.11365371548135e-05	-2.49687878900370e-01,-1.18843624915703e-05	-2.49687881803124e-01,-8.45101296242380e-06	-2.49687884632625e-01,-7.87781855518034e-06
6.00111988239765e+01	-2.49687886260165e-01,-9.72667198095534e-06	-2.49687877639662e-01,-1.06240335627693e-05	-2.49687881759345e-01,-6.50414919805046e-06	-2.49687885823537e-01,-5.81633814608959e-06
7.00113986279726e+01	-2.49687887802281e-01,-8.78905019268823e-06	-2.49687876080098e-01,-9.83594861051028e-06	-2.49687881637929e-01,-5.02952819349106e-06	-2.49687887161264e-01,-4.22710012292698e-06
8.00115984319686e+01	-2.49687889544997e-01,-8.14660454655056e-06	-2.49687874244023e-01,-9.34304048984499e-06	-2.49687881461224e-01,-3.85008260090756e-06	-2.49687888668151e-01,-2.93303707550921e-06
9.00117982359647e+01	-2.49687891498901e-01,-7.70095190553377e-06	-2.49687872142021e-01,-9.04692616225898e-06	-2.49687881239813e-01,-2.86742917892411e-06	-2.49687890354785e-01,-1.83576570014780e-06
1.00011998039961e+02	-2.49687893669686e-01,-7.39306132325832e-06	-2.49687869779783e-01,-8.88857477987060e-06	-2.49687880979389e-01,-2.02253687682890e-06	-2.49687892226859e-01,-8.76254883815547e-07
1.10012197843957e+02	-2.49687896060462e-01,-7.18536467026398e-06	-2.49687867160419e-01,-8.83041831171878e-06	-2.49687880683062e-01,-1.27783746083329e-06	-2.49687894287483e-01,-1.69363303979895e-08
1.20012397647953e+02	-2.49687898673244e-01,-7.05281590191973e-06	-2.49687864285940e-01,-8.84741081165449e-06	-2.49687880352844e-01,-6.08284781965972e-07	-2.49687896538671e-01,7.67236171390402e-07
1.30012597451949e+02	-2.49687901509185e-01,-6.97807467808574e-06	-2.49687861157497e-01,-8.92221203805441e-06	-2.49687879989887e-01,3.46160420695905e-09	-2.49687898981575e-01,1.49360312830611e-06
1.40012797255945e+02	-2.49687904569079e-01,-6.94875440164296e-06	-2.49687857775880e-01,-9.04243549226277e-06	-2.49687879594982e-01,5.69788399156006e-07	-2.49687901616990e-01,2.17455130413321e-06
1.50012997059941e+02	-2.49687907853460e-01,-6.95577213343761e-06	-2.49687854141621e-01,-9.19899833366552e-06	-2.49687879168662e-01,1.09977864633419e-06	-2.49687904445448e-01,2.81916380465566e-06
1.60013196863937e+02	-2.49687911362742e-01,-6.99231481869361e-06	-2.49687850255129e-01,-9.38508760595754e-06	-2.49687878711338e-01,1.60024550483353e-06	-2.49687907467363e-01,3.43425385128070e-06
1.70013396667933e+02	-2.49687915097160e-01,-7.05317260856484e-06	-2.49687846116637e-01,-9.59549355879570e-06	-2.49687878223244e-01,2.07639892784772e-06	-2.49687910682969e-01,4.02503145950499e-06
1.80013596471929e+02	-2.49687919056929e-01,-7.13429339342695e-06	-2.49687841726357e-01,-9.82616418106132e-06	-2.49687877704592e-01,2.53229112928311e-06	-2.49687914092481e-01,4.59554890561685e-06
1.90013796275926e+02	-2.49687923242193e-01,-7.23247776464576e-06	-2.49687837084425e-01,-1.00739001626276e-05	-2.49687877155521e-01,2.97112162213579e-06	-2.49687917696041e-01,5.14900576486316e-06
2.00013996079922e+02	-2.49687927653077e-01,-7.34516742904661e-06	-2.49687832190966e-01,-1.03361433088342e-05	-2.49687876576156e-01,3.39544880389152e-06	-2.49687921493775e-01,5.68796049709289e-06
2.10014195883918e+02	-2.49687932289622e-01,-7.47028923944691e-06	-2.49687827046013e-01,-1.06108205709942e-05	-2.49687875966534e-01,3.80734592602287e-06	-2.49687925485721e-01,6.21448641610723e-06
2.20014395687914e+02	-2.49687937151976e-01,-7.60614922040975e-06	-2.49687821649712e-01,-1.08962380721997e-05	-2.49687875326800e-01,4.20850706833449e-06	-2.49687929672029e-01,6.73027766401427e-06
2.30014595491910e+02	-2.49687942240114e-01,-7.75134614591623e-06	-2.49687816002029e-01,-1.11909946849199e-05	-2.49687874656925e-01,4.60033356115361e-06	-2.49687934052669e-01,7.23673563351112e-06
2.40014795295906e+02	-2.49687947554121e-01,-7.90471348999754e-06	-2.49687810103049e-01,-1.14939239817515e-05	-2.49687873956992e-01,4.98399203475652e-06	-2.49687938627728e-01,7.73502701719532e-06
2.50014995099902e+02	-2.49687953094001e-01,-8.06527097705866e-06	-2.49687803952767e-01,-1.18040457855870e-05	-2.49687873227001e-01,5.36046286907604e-06	-2.49687943397210e-01,8.22613225731102e-06
2.60015194903898e+02	-2.49687958859837e-01,-8.23218906954612e-06	-2.49687797551260e-01,-1.21205306573773e-05	-2.49687872467030e-01,5.73057570601535e-06	-2.49687948361193e-01,8.71088105809876e-06
2.70015394707894e+02	-2.49687964851626e-01,-8.40476130485823e-06	-2.49687790898521e-01,-1.24426722331082e-05	-2.49687871677074e-01,6.09503711247351e-06	-2.49687953519677e-01,9.18998004882887e-06
2.80015594511890e+02	-2.49687971069355e-01,-8.58238207688647e-06	-2.49687783994530e-01,-1.27698650051332e-05	-2.49687870857114e-01,6.45445279891658e-06	-2.49687958872646e-01,9.66403500227310e-06
2.90015794315886e+02	-2.49687977513102e-01,-8.76452932544217e-06	-2.49687776839357e-01,-1.31015870118556e-05	-2.49687870007225e-01,6.80934492985858e-06	-2.49687964420175e-01,1.01335681453198e-05
3.00015994119882e+02	-2.49687984182852e-01,-8.95075048039593e-06	-2.49687769432982e-01,-1.34373857816892e-05	-2.49687869127387e-01,7.16016617974830e-06	-2.49687970162252e-01,1.05990322147218e-05
3.10016193923878e+02	-2.49687991078606e-01,-9.14065145422976e-06	-2.49687761775399e-01,-1.37768673256017e-05	-2.49687868217598e-01,7.50731074045550e-06	-2.49687976098873e-01,1.10608214647165e-05
3.20016393727874e+02	-2.49687998200406e-01,-9.33388771585082e-06	-2.49687753866642e-01,-1.41196872111022e-05	-2.49687867277894e-01,7.85112324738974e-06	-2.49687982230081e-01,1.15192805931059e-05
3.30016593531870e+02	-2.49688005548261e-01,-9.53015594476060e-06	-2.49687745706713e-01,-1.44655422162148e-05	-2.49687866308280e-01,8.19190712542168e-06	-2.49687988555882e-01,1.19747130870384e-05
3.40016793335867e+02	-2.49688013122141e-01,-9.72918881651458e-06	-2.49687737295575e-01,-1.48141651150390e-05	-2.49687865308719e-01,8.52992980332587e-06	-2.49687995076246e-01,1.24273864376782e-05
3.50016993139863e+02	-2.49688020922062e-01,-9.93074947416302e-06	-2.49687728633234e-01,-1.51653191492182e-05	-2.49687864279224e-01,8.86542824236823e-06	-2.49688001791186e-01,1.28775376686645e-05
3.60017192943859e+02	-2.49688028948093e-01,-1.01346275943699e-05	-2.49687719719753e-01,-1.55187940939721e-05	-2.49687863219859e-01,9.19861287024227e-06	-2.49688008700771e-01,1.33253772700262e-05
3.70017392747855e+02	-2.49688037200199e-01,-1.03406356335936e-05	-2.49687710555089e-01,-1.58744025043336e-05	-2.49687862130583e-01,9.52967133485520e-06	-2.49688015804965e-01,1.37710929520365e-05
3.80017592551851e+02	-2.49688045678377e-01,-1.05486051337798e-05	-2.49687701139228e-01,-1.62319760207925e-05	-2.49687861011386e-01,9.85877219857747e-06	-2.49688023103760e-01,1.42148533394659e-05
3.90017792355847e+02	-2.49688054382654e-01,-1.07583856924829e-05	-2.49687691472190e-01,-1.65913643394979e-05	-2.49687859862290e-01,1.01860659682322e-05	-2.49688030597185e-01,1.46568090014394e-05
4.00017992159843e+02	-2.49688063313030e-01,-1.09698416342944e-05	-2.49687681553965e-01,-1.69524318836372e-05	-2.49687858683291e-01,1.05116884235805e-05	-2.49688038285237e-01,1.50970957801317e-05
4.10018191963839e+02	-2.49688072469513e-01,-1.11828504350548e-05	-2.49687671384553e-01,-1.73150562276221e-05	-2.49687857474388e-01,1.08357621931308e-05	-2.49688046167923e-01,1.55358363664367e-05
4.20018391767835e+02	-2.49688081852123e-01,-1.13973013708813e-05	-2.49687660963963e-01,-1.76791267462093e-05	-2.49687856235597e-01,1.11583981051064e-05	-2.49688054245259e-01,1.59731416509158e-05
4.30018591571831e+02	-2.49688091460814e-01,-1.16130941197125e-05	-2.49687650292140e-01,-1.80445432159114e-05	-2.49687854966867e-01,1.14796965859272e-05	-2.49688062517201e-01,1.64091121224049e-05
4.40018791375827e+02	-2.49688101295673e-01,-1.18301371185059e-05	-2.49687639369161e-01,-1.84112141722444e-05	-2.49687853668274e-01,1.17997493030092e-05	-2.49688070983831e-01,1.68438395107325e-05
4.50018991179823e+02	-2.49688111356664e-01,-1.20483474285051e-05	-2.49687628194980e-01,-1.87790567750923e-05	-2.49687852339779e-01,1.21186392994921e-05	-2.49688079645112e-01,1.72774069213743e-05
4.60019190983819e+02	-2.49688121643754e-01,-1.22676490015866e-05	-2.49687616769552e-01,-1.91479950750072e-05	-2.49687850981341e-01,1.24364427278351e-05	-2.49688088501009e-01,1.77098905691797e-05
