Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	1.37924845309876e-12,-4.64964564673760e-08	1.37944745706904e-12,-4.67713829610355e-08	1.37887395932213e-12,-4.54015113208227e-08	1.37884710362450e-12,-4.49252368183507e-08
1.00101998039961e+01	1.38207112226763e-06,-4.65444420726084e-05	1.38227053204122e-06,-4.68196496990030e-05	1.38169586203266e-06,-4.54483768353247e-05	1.38166895243612e-06,-4.49716145163919e-05
2.00103996079922e+01	5.52285446363557e-06,-9.30457418814227e-05	5.52365130174419e-06,-9.35958864778718e-05	5.52135489649802e-06,-9.08546867818400e-05	5.52124737655173e-06,-8.99016262876514e-05
3.00105994119882e+01	1.24226248851581e-05,-1.39553747298209e-04	1.24244171572992e-05,-1.40378837401210e-04	1.24192518881451e-05,-1.36267663213321e-04	1.24190100898530e-05,-1.34838280293018e-04
4.00107992159843e+01	2.20818381181191e-05,-1.86071810884478e-04	2.20850238082204e-05,-1.87171859297788e-04	2.20758424417309e-05,-1.81690639133973e-04	2.20754127517312e-05,-1.79784897414014e-04
5.00109990199804e+01	3.45011322178682e-05,-2.32603286921233e-04	3.45061092793765e-05,-2.33978310717237e-04	3.44917644354679e-05,-2.27126949260797e-04	3.44910933168973e-05,-2.24744800240979e-04
6.00111988239765e+01	4.96813276682605e-05,-2.79151531982773e-04	4.96884940154226e-05,-2.80801552504311e-04	4.96678381254447e-05,-2.72579930595164e-04	4.96668721398212e-05,-2.69721313643325e-04
7.00113986279726e+01	6.76234275159847e-05,-3.25719905511228e-04	6.76331810151184e-05,-3.27644948373881e-04	6.76050662799279e-05,-3.18052922995115e-04	6.76037521090580e-05,-3.14717765340498e-04
8.00115984319686e+01	8.83286175348131e-05,-3.72311770391986e-04	8.83413559955679e-05,-3.74511865486819e-04	8.83046343435823e-05,-3.63549269748546e-04	8.83029188114983e-05,-3.59737486473846e-04
9.00117982359647e+01	1.11798266419839e-04,-4.18930493530230e-04	1.11814387586442e-04,-4.21405675026991e-04	1.11767910631671e-04,-4.09072318147506e-04	1.11765740726603e-04,-4.04783812179577e-04
1.00011998039961e+02	1.38033926011731e-04,-4.65579446428691e-04	1.38053827554219e-04,-4.68329752779475e-04	1.37996446554269e-04,-4.54625420063707e-04	1.37993769450659e-04,-4.49860082162940e-04
1.10012197843957e+02	1.67037331551113e-04,-5.12262005766895e-04	1.67061411056543e-04,-5.15287479710264e-04	1.66991976870594e-04,-5.00211932525522e-04	1.66988739951154e-04,-4.94969641273886e-04
1.20012397647953e+02	1.98810401963102e-04,-5.58981553982006e-04	1.98839056926744e-04,-5.62282242547571e-04	1.98756419973489e-04,-5.45835218296570e-04	1.98752570851313e-04,-5.40115840084318e-04
1.30012597451949e+02	2.33355240172130e-04,-6.05741479851510e-04	2.33388867988639e-04,-6.09317434364975e-04	2.33291878204191e-04,-5.91498646456142e-04	2.33287364744923e-04,-5.85302035467175e-04
1.40012797255945e+02	2.70674133447121e-04,-6.52545179077879e-04	2.70713131401685e-04,-6.56396455166550e-04	2.70600638197440e-04,-6.37205592981606e-04	2.70595408541503e-04,-6.30531591177483e-04
1.50012997059941e+02	3.10769553777133e-04,-6.99396054875422e-04	3.10814319036586e-04,-7.03522712474178e-04	3.10685171257048e-04,-6.82959441332978e-04	3.10679173841947e-04,-6.75807878435595e-04
1.60013196863937e+02	3.53644158277590e-04,-7.46297518559516e-04	3.53695087881512e-04,-7.50699621917249e-04	3.53548133762059e-04,-7.28763583039877e-04	3.53541317344752e-04,-7.21134276512777e-04
1.70013396667933e+02	3.99300789627200e-04,-7.93252990138385e-04	3.99358280478971e-04,-7.97930607824904e-04	3.99192367603584e-04,-7.74621418291018e-04	3.99184681282936e-04,-7.66514173319360e-04
1.80013596471929e+02	4.47742476535743e-04,-8.40265898907643e-04	4.47806925393573e-04,-8.45219103821050e-04	4.47620900652501e-04,-8.20536356526463e-04	4.47612293891821e-04,-8.11950965995617e-04
1.90013796275926e+02	4.98972434242806e-04,-8.87339684047764e-04	4.99044237710725e-04,-8.92568553422299e-04	4.98836947258098e-04,-8.66511817032786e-04	4.98827369907768e-04,-8.57448061505566e-04
2.00013996079922e+02	5.52994065047660e-04,-9.34477795224678e-04	5.53073619566479e-04,-9.39982410639038e-04	5.52843908777852e-04,-9.12551229541357e-04	5.52833311098056e-04,-9.03008877233885e-04
2.10014195883918e+02	6.09810958870476e-04,-9.81683693193735e-04	6.09898660708695e-04,-9.87464140579865e-04	6.09645374138538e-04,-9.58658034829982e-04	6.09633706822084e-04,-9.48636841586178e-04
2.20014395687914e+02	6.69426893844902e-04,-1.02896085040712e-03	6.69523139089585e-04,-1.03501722005948e-03	6.69245120428696e-04,-1.00483568532798e-03	6.69232334623958e-04,-9.94335394592664e-04
2.30014595491910e+02	7.31845836942432e-04,-1.07631275162506e-03	7.31951021490037e-04,-1.08264513821038e-03	7.31647113522885e-04,-1.05108764572509e-03	7.31633160856848e-04,-1.04010798851567e-03
2.40014795295906e+02	7.97071944628464e-04,-1.12374289453090e-03	7.97186464175629e-04,-1.13035139709841e-03	7.96855508737622e-04,-1.09741739358410e-03	7.96840341339062e-04,-1.08595808846095e-03
2.50014995099902e+02	8.65109563550503e-04,-1.17125479035030e-03	8.65233813584775e-04,-1.17813951234243e-03	8.64874651519451e-04,-1.14382841995778e-03	8.64858222042219e-04,-1.13188917299311e-03
2.60015194903898e+02	9.35963231258610e-04,-1.21885196447483e-03	9.36097607049131e-04,-1.22601301373841e-03	9.35709078165268e-04,-1.19032423001003e-03	9.35691339811727e-04,-1.17790473475538e-03
2.70015394707894e+02	1.00963767695823e-03,-1.26653795708996e-03	1.00978257354637e-03,-1.27397544588790e-03	1.00936351657499e-03,-1.23690834364149e-03	1.00934442311959e-03,-1.22400828109387e-03
2.80015594511890e+02	1.08613782229586e-03,-1.31431632380790e-03	1.08629363448577e-03,-1.32203036883139e-03	1.08584288703711e-03,-1.28358429612000e-03	1.08582239285006e-03,-1.27020333468652e-03
2.90015794315886e+02	1.16546878217754e-03,-1.36219063630534e-03	1.16563590452670e-03,-1.37018135868650e-03	1.16515230304700e-03,-1.33035563871591e-03	1.16513036311819e-03,-1.31649343417701e-03
3.00015994119882e+02	1.24763586562064e-03,-1.41016448296637e-03	1.24781469243030e-03,-1.41843200829142e-03	1.24729707215858e-03,-1.37722593934252e-03	1.24727364212156e-03,-1.36288213481378e-03
3.10016193923878e+02	1.33264457663908e-03,-1.45824146953076e-03	1.33283550194463e-03,-1.46678592785369e-03	1.33228269686933e-03,-1.42419878320196e-03	1.33225773302547e-03,-1.40937300909442e-03
3.20016393727874e+02	1.42050061516220e-03,-1.50642521974779e-03	1.42070403272354e-03,-1.51524674560454e-03	1.42011487553904e-03,-1.47127777343654e-03	1.42008833488194e-03,-1.45596964741558e-03
3.30016593531870e+02	1.51120987798784e-03,-1.55471937603602e-03	1.51142618127961e-03,-1.56381810845913e-03	1.51079950334268e-03,-1.51846653178601e-03	1.51077134358265e-03,-1.50267565872879e-03
3.40016793335867e+02	1.60477845976960e-03,-1.60312760014897e-03	1.60500804197136e-03,-1.61250368268279e-03	1.60434267325749e-03,-1.56576869925078e-03	1.60431285284627e-03,-1.54949467120213e-03
3.50016993139863e+02	1.70121265403872e-03,-1.65165357384712e-03	1.70145590802509e-03,-1.66130715456349e-03	1.70075067708467e-03,-1.61318793676135e-03	1.70071915524031e-03,-1.59643033288822e-03
3.60017192943859e+02	1.80051895426096e-03,-1.70030099957641e-03	1.80077627259165e-03,-1.71023223109090e-03	1.80003000650607e-03,-1.66072792585430e-03	1.79999674323808e-03,-1.64348631239871e-03
3.70017392747855e+02	1.90270405492876e-03,-1.74907360115347e-03	1.90297582983852e-03,-1.75928264064210e-03	1.90218735417616e-03,-1.70839236935496e-03	1.90215231031075e-03,-1.69066629958544e-03
3.80017592551851e+02	2.00777485268909e-03,-1.79797512445782e-03	2.00806147607762e-03,-1.80846213367432e-03	2.00722961484969e-03,-1.75618499206703e-03	2.00719275205527e-03,-1.73797400622848e-03
3.90017792355847e+02	2.11573844750706e-03,-1.84700933813126e-03	2.11604031092876e-03,-1.85777448342486e-03	2.11516388654499e-03,-1.80410954146934e-03	2.11512516735794e-03,-1.78541316673144e-03
4.00017992159843e+02	2.22660214386602e-03,-1.89618003428471e-03	2.22691963851976e-03,-1.90722348661848e-03	2.22599747174401e-03,-1.85216978842012e-03	2.22595685959458e-03,-1.83298753882413e-03
4.10018191963839e+02	2.34037345200442e-03,-1.94549102921281e-03	2.34070696872311e-03,-1.95681296418249e-03	2.33973787862884e-03,-1.90036952786891e-03	2.33969533786734e-03,-1.88070090427294e-03
4.20018391767835e+02	2.45706008918968e-03,-1.99494616411640e-03	2.45741001842983e-03,-2.00654676196985e-03	2.45639282235538e-03,-1.94871257957639e-03	2.45634831827858e-03,-1.92855706959911e-03
4.30018591571831e+02	2.57666998102962e-03,-2.04454930583331e-03	2.57703671286077e-03,-2.05642875149040e-03	2.57597022636454e-03,-1.99720278884248e-03	2.57592372524236e-03,-1.97655986680516e-03
4.40018791375827e+02	2.69921126282187e-03,-2.09430434757746e-03	2.69959518691591e-03,-2.10646283065061e-03	2.69847822373142e-03,-2.04584402724271e-03	2.69842969283380e-03,-2.02471315410980e-03
4.50018991179823e+02	2.82469228094141e-03,-2.14421520968693e-03	2.82509378656185e-03,-2.15665292450216e-03	2.82392515855257e-03,-2.09464019337359e-03	2.82387456617666e-03,-2.07302081669156e-03
4.60019190983819e+02	2.95312159426726e-03,-2.19428584038084e-03	2.95354107025833e-03,-2.20700298599938e-03	2.95231958737246e-03,-2.14359521360668e-03	2.95226690287004e-03,-2.12148676744127e-03
4.70019390787815e+02	3.08450797564820e-03,-2.24452021652560e-03	3.08494581042391e-03,-2.25751699676607e-03	3.08367028064891e-03,-2.19271304285202e-03	3.08361547445414e-03,-2.17011494772391e-03
4.80019590591811e+02	3.21886041340814e-03,-2.29492234441076e-03	3.21931699494119e-03,-2.30819896787193e-03	3.21798622425821e-03,-2.24199766533128e-03	3.21792926791558e-03,-2.21890932814999e-03
4.90019790395807e+02	3.35618811289214e-03,-2.34549626053466e-03	3.35666382870272e-03,-2.35905294061879e-03	3.35527662104086e-03,-2.29145309536041e-03	3.35521748723349e-03,-2.26787390935659e-03
5.00019990199803e+02	3.49650049805239e-03,-2.39624603240022e-03	3.49699573519686e-03,-2.41008298733696e-03	3.49555089238725e-03,-2.34108337814266e-03	3.49548955496550e-03,-2.31701272279870e-03
5.10020190003799e+02	3.63980721307629e-03,-2.44717575932124e-03	3.64032235813578e-03,-2.46129321219213e-03	3.63881867986551e-03,-2.39089259057191e-03	3.63875511387583e-03,-2.36632983155081e-03
5.20020389807795e+02	3.78611812405551e-03,-2.49828957323936e-03	3.78665356312436e-03,-2.51268775200294e-03	3.78508984689020e-03,-2.44088484204673e-03	3.78502402860437e-03,-2.41582933111923e-03
5.30020589611792e+02	3.93544332069784e-03,-2.54959163955212e-03	3.93599943937192e-03,-2.56427077706963e-03	3.93437448043391e-03,-2.49106427529546e-03	3.93430638737860e-03,-2.46551535026546e-03
5.40020789415788e+02	4.08779311808170e-03,-2.60108615795236e-03	4.08837030144660e-03,-2.61604649201403e-03	4.08668289278145e-03,-2.54143506721259e-03	4.08661250376803e-03,-2.51539205184082e-03
5.50020989219784e+02	4.24317805845412e-03,-2.65277736327934e-03	4.24377669107323e-03,-2.66801913663132e-03	4.24202562332751e-03,-2.59200142970687e-03	4.24195291848230e-03,-2.56546363363271e-03
5.60021189023780e+02	4.40160891307268e-03,-2.70466952638183e-03	4.40222937897513e-03,-2.72019298675373e-03	4.40041344041831e-03,-2.64276761056130e-03	4.40033840121313e-03,-2.61573432922288e-03
5.70021388827776e+02	4.56309668409182e-03,-2.75676695499367e-03	4.56373936676024e-03,-2.77257235512669e-03	4.56185734323752e-03,-2.69373789430562e-03	4.56177995252060e-03,-2.66620840885804e-03
5.80021588631772e+02	4.72765260649541e-03,-2.80907399462168e-03	4.72831788885360e-03,-2.82516159229746e-03	4.72636856373858e-03,-2.74491660310105e-03	4.72628880576588e-03,-2.71689018033282e-03
5.90021788435768e+02	4.89528815007361e-03,-2.86159502944712e-03	4.89597641447404e-03,-2.87796508751714e-03	4.89395856862111e-03,-2.79630809763859e-03	4.89387642908797e-03,-2.76778398988612e-03
6.00021988239764e+02	5.06601502144764e-03,-2.91433448324007e-03	5.06672664965880e-03,-2.93098726965574e-03	5.06463906135545e-03,-2.84791677805017e-03	5.06455452742867e-03,-2.81889422311049e-03
6.10022188043760e+02	5.23984516614099e-03,-2.96729682028780e-03	5.24058053933458e-03,-2.98423260813122e-03	5.23842198425344e-03,-2.89974708483380e-03	5.23833504460373e-03,-2.87022530587526e-03
6.20022387847757e+02	5.41679077069908e-03,-3.02048654633723e-03	5.41755026943708e-03,-3.03770561385258e-03	5.41531952058774e-03,-2.95180349979270e-03	5.41523016542258e-03,-2.92178170526384e-03
6.30022587651753e+02	5.59686426485662e-03,-3.07390820955192e-03	5.59764826907814e-03,-3.09141084017754e-03	5.59534409675881e-03,-3.00409054698898e-03	5.59525231785573e-03,-2.97356793052539e-03
6.40022787455749e+02	5.78007832375569e-03,-3.12756640148370e-03	5.78088721276369e-03,-3.14535288388484e-03	5.77850838451262e-03,-3.05661279371185e-03	5.77841417525297e-03,-3.02558853404110e-03
6.50022987259745e+02	5.96644587021233e-03,-3.18146575806008e-03	5.96728002266017e-03,-3.19953638616234e-03	5.96482530320689e-03,-3.10937485146168e-03	5.96472865860991e-03,-3.07784811230621e-03
6.60023187063741e+02	6.15598007703548e-03,-3.23561096058678e-03	6.15683987091332e-03,-3.25396603361025e-03	6.15430802212958e-03,-3.16238137694902e-03	6.15420893888710e-03,-3.13035130692704e-03
6.70023386867737e+02	6.34869436939638e-03,-3.29000673676666e-03	6.34958018201735e-03,-3.30864655926076e-03	6.34696996286791e-03,-3.21563707311003e-03	6.34686843937938e-03,-3.18310280563438e-03
6.80023586671733e+02	6.54460242725111e-03,-3.34465786173532e-03	6.54551463523730e-03,-3.36358274361437e-03	6.54282480173056e-03,-3.26914669013857e-03	6.54272083813858e-03,-3.23610734331347e-03
6.90023786475729e+02	6.74371818781605e-03,-3.39956915911324e-03	6.74465716708437e-03,-3.41877941569268e-03	6.74188647222262e-03,-3.32291502653465e-03	6.74178007044899e-03,-3.28936970305038e-03
7.00023986279725e+02	6.94605584809788e-03,-3.45474550207558e-03	6.94702197384568e-03,-3.47424145410907e-03	6.94416916757520e-03,-3.37694693017069e-03	6.94406033135745e-03,-3.34289471719615e-03
7.10024186083722e+02	7.15162986747793e-03,-3.51019181443984e-03	7.15262351416847e-03,-3.52997378815694e-03	7.14968734332944e-03,-3.43124729937540e-03	7.14957607825785e-03,-3.39668726844848e-03
