Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	-2.40204646479366e-01,-4.77275319050667e-02	-2.40204646196316e-01,-4.77275333296121e-02	-2.40204646332485e-01,-4.77275326442952e-02	-2.40204646604868e-01,-4.77275312734355e-02
1.00101998039961e+01	-2.49687872730317e-01,-4.91451567247812e-05	-2.49687872162551e-01,-5.06274533475615e-05	-2.49687872418997e-01,-4.99143535914675e-05	-2.49687872852242e-01,-4.84879191182333e-05
2.00103996079922e+01	-2.49687880488887e-01,-2.39612278096286e-05	-2.49687879101588e-01,-2.69243408176370e-05	-2.49687879702281e-01,-2.54988534268984e-05	-2.49687880585250e-01,-2.26474089546267e-05
3.00105994119882e+01	-2.49687882494142e-01,-1.52839588749191e-05	-2.49687879741319e-01,-1.97278891704293e-05	-2.49687880915603e-01,-1.75900137354955e-05	-2.49687882547912e-01,-1.33135584382818e-05
4.00107992159843e+01	-2.49687883865879e-01,-1.07364497299221e-05	-2.49687879201540e-01,-1.66611986904219e-05	-2.49687881178759e-01,-1.38109345853766e-05	-2.49687883860025e-01,-8.10946720118437e-06
5.00109990199804e+01	-2.49687885235595e-01,-7.84133910422373e-06	-2.49687878113748e-01,-1.52469085707573e-05	-2.49687881123248e-01,-1.16842549589285e-05	-2.49687885153088e-01,-4.55777380080225e-06
6.00111988239765e+01	-2.49687886759111e-01,-5.77256453880711e-06	-2.49687876633762e-01,-1.46589568140282e-05	-2.49687880904889e-01,-1.03839126489267e-05	-2.49687886582920e-01,-1.83241560687355e-06
7.00113986279726e+01	-2.49687888489906e-01,-4.17603179869396e-06	-2.49687874815061e-01,-1.45432496463053e-05	-2.49687880577160e-01,-9.55581367189265e-06	-2.49687888202999e-01,4.20701786579667e-07
8.00115984319686e+01	-2.49687890450323e-01,-2.87467420997622e-06	-2.49687872679985e-01,-1.47227208545398e-05	-2.49687880162403e-01,-9.02289160531491e-06	-2.49687890035670e-01,2.37864522439252e-06
9.00117982359647e+01	-2.49687892650969e-01,-1.77010836195140e-06	-2.49687870239141e-01,-1.50989874887809e-05	-2.49687879671226e-01,-8.68676328984471e-06	-2.49687892091538e-01,4.13979828813017e-06
1.00011998039961e+02	-2.49687895097496e-01,-8.03302612819405e-07	-2.49687867498178e-01,-1.56130183679500e-05	-2.49687879109277e-01,-8.48839733499909e-06	-2.49687894376255e-01,5.76319279044515e-06
1.10012197843957e+02	-2.49687897793048e-01,6.33109643274785e-08	-2.49687864460239e-01,-1.62272460258314e-05	-2.49687878479701e-01,-8.39022606519459e-06	-2.49687896892965e-01,7.28639682909347e-06
1.20012397647953e+02	-2.49687900739620e-01,8.54778674742431e-07	-2.49687861127317e-01,-1.69166246178624e-05	-2.49687877784492e-01,-8.36720342648757e-06	-2.49687899643663e-01,8.73445688016844e-06
1.30012597451949e+02	-2.49687903938370e-01,1.58844057999000e-06	-2.49687857500566e-01,-1.76638145431495e-05	-2.49687877024805e-01,-8.40198960861995e-06	-2.49687902629506e-01,1.01247131760740e-05
1.40012797255945e+02	-2.49687907390115e-01,2.27668394092079e-06	-2.49687853580801e-01,-1.84564290015419e-05	-2.49687876201456e-01,-8.48219760206446e-06	-2.49687905851309e-01,1.14695531484759e-05
1.50012997059941e+02	-2.49687911095363e-01,2.92859201121784e-06	-2.49687849368528e-01,-1.92853852000204e-05	-2.49687875314952e-01,-8.59874440443756e-06	-2.49687909309583e-01,1.27780602219103e-05
1.60013196863937e+02	-2.49687915054524e-01,3.55097792011837e-06	-2.49687844864153e-01,-2.01438704700514e-05	-2.49687874365700e-01,-8.74481713781688e-06	-2.49687913004735e-01,1.40570476964478e-05
1.70013396667933e+02	-2.49687919267841e-01,4.14905122230921e-06	-2.49687840067916e-01,-2.10266757176116e-05	-2.49687873353942e-01,-8.91520649882045e-06	-2.49687916937007e-01,1.53117252976189e-05
1.80013596471929e+02	-2.49687923735545e-01,4.72686490834539e-06	-2.49687834980044e-01,-2.19297484128726e-05	-2.49687872279906e-01,-9.10585974823157e-06	-2.49687921106631e-01,1.65461461867956e-05
1.90013796275926e+02	-2.49687928457754e-01,5.28761787783179e-06	-2.49687829600652e-01,-2.28498901169203e-05	-2.49687871143710e-01,-9.31357823775788e-06	-2.49687925513723e-01,1.77635094344392e-05
2.00013996079922e+02	-2.49687933434607e-01,5.83386926919652e-06	-2.49687823929877e-01,-2.37845421520462e-05	-2.49687869945489e-01,-9.53580308030459e-06	-2.49687930158423e-01,1.89663743498321e-05
2.10014195883918e+02	-2.49687938666141e-01,6.36769190462110e-06	-2.49687817967748e-01,-2.47316321567711e-05	-2.49687868685278e-01,-9.77046170501730e-06	-2.49687935040766e-01,2.01568139259770e-05
2.20014395687914e+02	-2.49687944152507e-01,6.89078009399836e-06	-2.49687811714413e-01,-2.56894662819492e-05	-2.49687867363224e-01,-1.00158600533402e-05	-2.49687940160901e-01,2.13365226436342e-05
2.30014595491910e+02	-2.49687949893672e-01,7.40453532541401e-06	-2.49687805169836e-01,-2.66566435002204e-05	-2.49687865979294e-01,-1.02705968885275e-05	-2.49687945518797e-01,2.25069021617195e-05
2.40014795295906e+02	-2.49687955889738e-01,7.91012437640904e-06	-2.49687798334112e-01,-2.76319974947970e-05	-2.49687864533586e-01,-1.05335056843896e-05	-2.49687951114552e-01,2.36691194286470e-05
2.50014995099902e+02	-2.49687962140683e-01,8.40852733758541e-06	-2.49687791207217e-01,-2.86145486358327e-05	-2.49687863026074e-01,-1.08036066016821e-05	-2.49687956948147e-01,2.48241547058731e-05
2.60015194903898e+02	-2.49687968646610e-01,8.90057418440713e-06	-2.49687783789246e-01,-2.96034674086039e-05	-2.49687861456860e-01,-1.10800699162696e-05	-2.49687963019680e-01,2.59728381397217e-05
2.70015394707894e+02	-2.49687975407502e-01,9.38697165701164e-06	-2.49687776080178e-01,-3.05980475337919e-05	-2.49687859825923e-01,-1.13621891394192e-05	-2.49687969329136e-01,2.71158766411839e-05
2.80015594511890e+02	-2.49687982423364e-01,9.86832526538449e-06	-2.49687768080011e-01,-3.15976839621826e-05	-2.49687858133263e-01,-1.16493590125012e-05	-2.49687975876518e-01,2.82538758911223e-05
2.90015794315886e+02	-2.49687989694249e-01,1.03451575589612e-05	-2.49687759788795e-01,-3.26018546051524e-05	-2.49687856378933e-01,-1.19410572374618e-05	-2.49687982661877e-01,2.93873586098542e-05
3.00015994119882e+02	-2.49687997220145e-01,1.08179209946524e-05	-2.49687751206510e-01,-3.36101074665740e-05	-2.49687854562916e-01,-1.22368316087716e-05	-2.49687989685202e-01,3.05167774251564e-05
3.10016193923878e+02	-2.49688005001094e-01,1.12870099872720e-05	-2.49687742333191e-01,-3.46220485924951e-05	-2.49687852685248e-01,-1.25362879630070e-05	-2.49687996946532e-01,3.16425269226831e-05
3.20016393727874e+02	-2.49688013037078e-01,1.17527693090502e-05	-2.49687733168814e-01,-3.56373336715098e-05	-2.49687850745910e-01,-1.28390817793440e-05	-2.49688004445848e-01,3.27649520456148e-05
3.30016593531870e+02	-2.49688021328145e-01,1.22155022601525e-05	-2.49687723713422e-01,-3.66556598643270e-05	-2.49687848744946e-01,-1.31449100090192e-05	-2.49688012183198e-01,3.38843562649826e-05
3.40016793335867e+02	-2.49688029874248e-01,1.26754765189797e-05	-2.49687713966959e-01,-3.76767599533877e-05	-2.49687846682304e-01,-1.34535052250612e-05	-2.49688020158532e-01,3.50010074300538e-05
3.50016993139863e+02	-2.49688038675423e-01,1.31329290210289e-05	-2.49687703929456e-01,-3.87003974641079e-05	-2.49687844558016e-01,-1.37646307433947e-05	-2.49688028371887e-01,3.61151426472081e-05
3.60017192943859e+02	-2.49688047731701e-01,1.35880702915166e-05	-2.49687693600936e-01,-3.97263623321303e-05	-2.49687842372110e-01,-1.40780762902130e-05	-2.49688036823291e-01,3.72269726126518e-05
3.70017392747855e+02	-2.49688057043076e-01,1.40410880907802e-05	-2.49687682981385e-01,-4.07544672580811e-05	-2.49687840124574e-01,-1.43936543566633e-05	-2.49688045512738e-01,3.83366852575586e-05
3.80017592551851e+02	-2.49688066609555e-01,1.44921509433766e-05	-2.49687672070801e-01,-4.17845441782759e-05	-2.49687837815411e-01,-1.47111966695953e-05	-2.49688054440232e-01,3.94444492774144e-05
3.90017792355847e+02	-2.49688076431106e-01,1.49414097228698e-05	-2.49687660869147e-01,-4.28164426801573e-05	-2.49687835444585e-01,-1.50305526069322e-05	-2.49688063605741e-01,4.05504157166855e-05
4.00017992159843e+02	-2.49688086507800e-01,1.53889999982913e-05	-2.49687649376483e-01,-4.38500276556310e-05	-2.49687833012160e-01,-1.53515868510888e-05	-2.49688073009332e-01,4.16547203153271e-05
4.10018191963839e+02	-2.49688096839595e-01,1.58350445341308e-05	-2.49687637592761e-01,-4.48851768011738e-05	-2.49687830518093e-01,-1.56741768891022e-05	-2.49688082650965e-01,4.27574860088058e-05
4.20018391767835e+02	-2.49688107426530e-01,1.62796541563164e-05	-2.49687625518010e-01,-4.59217797519222e-05	-2.49687827962414e-01,-1.59982121465078e-05	-2.49688092530675e-01,4.38588237939476e-05
4.30018591571831e+02	-2.49688118268581e-01,1.67229295602521e-05	-2.49687613152198e-01,-4.69597362734036e-05	-2.49687825345097e-01,-1.63235921793992e-05	-2.49688102648437e-01,4.49588345370267e-05
4.40018791375827e+02	-2.49688129365779e-01,1.71649623594445e-05	-2.49687600495347e-01,-4.79989552131884e-05	-2.49687822666166e-01,-1.66502256257672e-05	-2.49688113004281e-01,4.60576100226687e-05
4.50018991179823e+02	-2.49688140718141e-01,1.76058357188152e-05	-2.49687587547463e-01,-4.90393538674269e-05	-2.49687819925633e-01,-1.69780295722190e-05	-2.49688123598223e-01,4.71552335865755e-05
4.60019190983819e+02	-2.49688152325615e-01,1.80456258372645e-05	-2.49687574308487e-01,-5.00808564982600e-05	-2.49687817123440e-01,-1.73069280714111e-05	-2.49688134430206e-01,4.82517815986723e-05
