Freq.	I(C1)	I(C2)	I(C3)	I(C4)
1.00000000000000e-02	1.37950603226790e-12,-4.58062355800052e-08	1.37980288616013e-12,-4.73900222969214e-08	1.37920090781052e-12,-4.60190931302182e-08	1.37910453583706e-12,-4.42164007093230e-08
1.00101998039961e+01	1.38232923132917e-06,-4.58535172113284e-05	1.38262669111667e-06,-4.74389200216967e-05	1.38202348220962e-06,-4.60665886851746e-05	1.38192691429721e-06,-4.42620553693254e-05
2.00103996079922e+01	5.52388591871634e-06,-9.16645826065695e-05	5.52507456972949e-06,-9.48338084050014e-05	5.52266412090253e-06,-9.20904936130583e-05	5.52227824409009e-06,-8.84832165955476e-05
3.00105994119882e+01	1.24249450732208e-05,-1.37482354063541e-04	1.24276186477731e-05,-1.42235410775293e-04	1.24221968585564e-05,-1.38121066452217e-04	1.24213289589018e-05,-1.32711019588247e-04
4.00107992159843e+01	2.20859626756836e-05,-1.83310184371386e-04	2.20907149070516e-05,-1.89647083883345e-04	2.20810775622404e-05,-1.84161640920569e-04	2.20795349710342e-05,-1.76948784995986e-04
5.00109990199804e+01	3.45075771308877e-05,-2.29151428039779e-04	3.45150017536946e-05,-2.37072186201637e-04	3.44999444774587e-05,-2.30215552449929e-04	3.44975345893268e-05,-2.21199835177033e-04
6.00111988239765e+01	4.96906093720922e-05,-2.75009441873076e-04	4.97013001226891e-05,-2.84514078498903e-04	4.96796183326672e-05,-2.76286138757945e-04	4.96761486236908e-05,-2.65467494769909e-04
7.00113986279726e+01	6.76360629954795e-05,-3.20887585545201e-04	6.76506136123251e-05,-3.31976124415405e-04	6.76211024736998e-05,-3.22376740420767e-04	6.76163805195571e-05,-3.09755091264651e-04
8.00115984319686e+01	8.83451244245534e-05,-3.66789222175418e-04	8.83641286485913e-05,-3.79461691039104e-04	8.83255830281408e-05,-3.68490701446607e-04	8.83194165222759e-05,-3.54065955574978e-04
9.00117982359647e+01	1.11819163104550e-04,-4.12717718905216e-04	1.11843214679582e-04,-4.26974149482938e-04	1.11794429099703e-04,-4.14631369850397e-04	1.11786625871527e-04,-3.98403422611542e-04
1.00011998039961e+02	1.38059731726895e-04,-4.58676447476425e-04	1.38089424399951e-04,-4.74516875463324e-04	1.38029192992652e-04,-4.60802098229676e-04	1.38019561025777e-04,-4.42770831856415e-04
1.10012197843957e+02	1.67068566483808e-04,-5.04668784810796e-04	1.67104494005513e-04,-5.22093249880150e-04	1.67031610466365e-04,-5.07006244341958e-04	1.67019957916888e-04,-4.87171527939049e-04
1.20012397647953e+02	1.98847587353098e-04,-5.50698113591219e-04	1.98890343478032e-04,-5.69706659398375e-04	1.98803601020088e-04,-5.53247171683696e-04	1.98789736234911e-04,-5.31608861213831e-04
1.30012597451949e+02	2.33398898413269e-04,-5.96767822844749e-04	2.33449076900324e-04,-6.17360497031459e-04	2.33347268207985e-04,-5.99528250071078e-04	2.33330999743195e-04,-5.76086188339468e-04
1.40012797255945e+02	2.70724788189007e-04,-6.42881308527635e-04	2.70782982801737e-04,-6.65058162726790e-04	2.70664899984573e-04,-6.45852856222817e-04	2.70646036623873e-04,-6.20606872860349e-04
1.50012997059941e+02	3.10827730027153e-04,-6.89041974112530e-04	3.10894534534119e-04,-7.12803063953284e-04	3.10758969080632e-04,-6.92224374345090e-04	3.10737319853839e-04,-6.65174285790086e-04
1.60013196863937e+02	3.53710382503308e-04,-7.35253231178083e-04	3.53786390678418e-04,-7.60598616291397e-04	3.53632133409754e-04,-7.38646196718896e-04	3.53607507611357e-04,-7.09791806197430e-04
1.70013396667933e+02	3.99375589859143e-04,-7.81518500001086e-04	3.99461395481978e-04,-8.08448244025655e-04	3.99287236505570e-04,-7.85121724289921e-04	3.99259443713364e-04,-7.54462821794707e-04
1.80013596471929e+02	4.47826382470601e-04,-8.27841210151385e-04	4.47922579326741e-04,-8.56355380739974e-04	4.47727307989889e-04,-8.31654367261175e-04	4.47696158083686e-04,-7.99190729529040e-04
1.90013796275926e+02	4.99065977347092e-04,-8.74224801089718e-04	4.99173159228431e-04,-9.04323469915911e-04	4.98955564071812e-04,-8.78247545688562e-04	4.98920867252230e-04,-8.43978936176451e-04
2.00013996079922e+02	5.53097778661835e-04,-9.20672722768692e-04	5.53216539366888e-04,-9.52355965534036e-04	5.52975408077984e-04,-9.24904690079544e-04	5.52936974885328e-04,-8.88830858939107e-04
2.10014195883918e+02	6.09925378313589e-04,-9.67188436237120e-04	6.10056311647787e-04,-1.00045633267868e-03	6.09790431014243e-04,-9.71629241995198e-04	6.09748072347477e-04,-9.33749926045913e-04
2.20014395687914e+02	6.69552556519762e-04,-1.01377541424782e-03	6.69696256295737e-04,-1.04862804814615e-03	6.69404412158628e-04,-1.01842465465568e-03	6.69357939294439e-04,-9.78739577356519e-04
2.30014595491910e+02	7.31983282441340e-04,-1.06043714186920e-03	7.32140342479208e-04,-1.09687460105671e-03	7.31821319686221e-04,-1.06529439354952e-03	7.31770544298197e-04,-1.02380326496917e-03
2.40014795295906e+02	7.97221714839553e-04,-1.10717711710075e-03	7.97392728967174e-04,-1.14519949347051e-03	7.97045311325692e-04,-1.11224193704674e-03	7.96990045503596e-04,-1.06894445383230e-03
2.50014995099902e+02	8.65272202764672e-04,-1.15399885149260e-03	8.65457764817909e-04,-1.19360624100754e-03	8.65080735048013e-04,-1.15927077701611e-03	8.65020791317176e-04,-1.11416662236039e-03
2.60015194903898e+02	9.36139286277138e-04,-1.20090587076950e-03	9.36339990100095e-04,-1.24209837347205e-03	9.35932129787442e-04,-1.20638441944673e-03	9.35867321128279e-04,-1.15947326305403e-03
2.70015394707894e+02	1.00982769720106e-03,-1.24790171545928e-03	1.01004413664631e-03,-1.29067943548138e-03	1.00960422619493e-03,-1.25358638507413e-03	1.00953436606257e-03,-1.20486788312448e-03
2.80015594511890e+02	1.08634235991058e-03,-1.29498994152605e-03	1.08657512883941e-03,-1.33935298709965e-03	1.08610194742435e-03,-1.30088021001111e-03	1.08602684976842e-03,-1.25035400512307e-03
2.90015794315886e+02	1.16568839214916e-03,-1.34217412100834e-03	1.16593808443172e-03,-1.38812260447628e-03	1.16543040995166e-03,-1.34826944638347e-03	1.16534988923616e-03,-1.29593516757540e-03
3.00015994119882e+02	1.24787110588206e-03,-1.38945784266248e-03	1.24813831539760e-03,-1.43699188048980e-03	1.24759492442724e-03,-1.39575766297091e-03	1.24750879565061e-03,-1.34161492562074e-03
3.10016193923878e+02	1.33289600818245e-03,-1.43684471261125e-03	1.33318132881946e-03,-1.48596442539696e-03	1.33260099656187e-03,-1.44334844585339e-03	1.33250907527715e-03,-1.38739685165679e-03
3.20016393727874e+02	1.42076880215105e-03,-1.48433835499821e-03	1.42107282780745e-03,-1.53504386748748e-03	1.42045432804624e-03,-1.49104539906286e-03	1.42035643038146e-03,-1.43328453598998e-03
3.30016593531870e+02	1.51149538787014e-03,-1.53194241264786e-03	1.51181871245339e-03,-1.58423385374459e-03	1.51116081750479e-03,-1.53885214524105e-03	1.51105676018343e-03,-1.47928158749163e-03
3.40016793335867e+02	1.60508186339162e-03,-1.57966054773175e-03	1.60542508081888e-03,-1.63353805051168e-03	1.60472656148364e-03,-1.58677232630310e-03	1.60461616184531e-03,-1.52539163426003e-03
3.50016993139863e+02	1.70153452575995e-03,-1.62749644244096e-03	1.70189822995816e-03,-1.68296014416516e-03	1.70115785547334e-03,-1.63480960410750e-03	1.70104093149463e-03,-1.57161832428884e-03
3.60017192943859e+02	1.80085987206994e-03,-1.67545379966506e-03	1.80124465697591e-03,-1.73250384179383e-03	1.80046119496651e-03,-1.68296766113253e-03	1.80033756528200e-03,-1.61796532614196e-03
3.70017392747855e+02	1.90306460055985e-03,-1.72353634367775e-03	1.90347106012035e-03,-1.78217287188510e-03	1.90264327655083e-03,-1.73125020115944e-03	1.90251276047425e-03,-1.66443632963505e-03
3.80017592551851e+02	2.00815561174042e-03,-1.77174782082963e-03	2.00858433991220e-03,-1.83197098501803e-03	2.00771099903777e-03,-1.77966094996254e-03	2.00757341658342e-03,-1.71103504652408e-03
3.90017792355847e+02	2.11614000955936e-03,-1.82009200024792e-03	2.11659160030923e-03,-1.88190195456368e-03	2.11567146462705e-03,-1.82820365600649e-03	2.11552663653138e-03,-1.75776521120096e-03
4.00017992159843e+02	2.22702510260274e-03,-1.86857267454394e-03	2.22750014990753e-03,-1.93196957739293e-03	2.22653198010769e-03,-1.87688209115105e-03	2.22637972785108e-03,-1.80463058139669e-03
4.10018191963839e+02	2.34081840533288e-03,-1.91719366052812e-03	2.34131750317944e-03,-1.98217767459200e-03	2.34030005809584e-03,-1.92570005136351e-03	2.34014020392458e-03,-1.85163493889216e-03
4.20018391767835e+02	2.45752763936340e-03,-1.96595879993299e-03	2.45805138174860e-03,-2.03253009218591e-03	2.45698341830962e-03,-1.97466135743911e-03	2.45681578525811e-03,-1.89878209023683e-03
4.30018591571831e+02	2.57716073477191e-03,-2.01487196014447e-03	2.57770971570254e-03,-2.08303070187022e-03	2.57658998888150e-03,-2.02376985572955e-03	2.57641440079470e-03,-1.94607586747567e-03
4.40018791375827e+02	2.69972583145062e-03,-2.06393703494153e-03	2.70030064494332e-03,-2.13368340175120e-03	2.69912790770884e-03,-2.07302941888004e-03	2.69894418926491e-03,-1.99352012888445e-03
4.50018991179823e+02	2.82523128049520e-03,-2.11315794524478e-03	2.82583252057637e-03,-2.18449211709485e-03	2.82460552384246e-03,-2.12244394657513e-03	2.82441350057565e-03,-2.04111875971391e-03
4.60019190983819e+02	2.95368564563278e-03,-2.16253863987383e-03	2.95431390633845e-03,-2.23546080108481e-03	2.95303139891448e-03,-2.17201736629337e-03	2.95283089723825e-03,-2.08887567294269e-03
4.70019390787815e+02	3.08509770468905e-03,-2.21208309631420e-03	3.08575358006468e-03,-2.28659343558968e-03	3.08441430860512e-03,-2.22175363407138e-03	3.08420515583555e-03,-2.13679481003965e-03
4.80019590591811e+02	3.21947645109499e-03,-2.26179532149363e-03	3.22016053519534e-03,-2.33789403193988e-03	3.21876324414928e-03,-2.27165673527747e-03	3.21854526852868e-03,-2.18488014173576e-03
4.90019790395807e+02	3.35683109543437e-03,-2.31167935256831e-03	3.35754398232326e-03,-2.38936663171437e-03	3.35608741388380e-03,-2.32173068539496e-03	3.35586044460461e-03,-2.23313566880566e-03
