Freq.	I(C1)	I(C2)	I(C3)	I(C4)
5.00000000000000e+03	-2.49720009310659e-01,2.10594777643524e-04	-2.49651208956981e-01,-5.39512769060956e-04	-2.49680106538021e-01,-1.78913368555010e-04	-2.49717779877337e-01,5.42474491320979e-04
5.19519519519520e+03	-2.49722587887868e-01,2.19063358691833e-04	-2.49648262964762e-01,-5.61141861723754e-04	-2.49679480797687e-01,-1.86095353937048e-04	-2.49720172128636e-01,5.64200105175630e-04
5.39039039039039e+03	-2.49725268542380e-01,2.27559739668830e-04	-2.49645199968334e-01,-5.82838444164879e-04	-2.49678830037208e-01,-1.93301599203626e-04	-2.49722657911450e-01,5.85988620544825e-04
5.58558558558559e+03	-2.49728051657617e-01,2.36085108791144e-04	-2.49642019488577e-01,-6.04605244617576e-04	-2.49678154136584e-01,-2.00533062011923e-04	-2.49725237442727e-01,6.07842649507993e-04
5.78078078078078e+03	-2.49730937632335e-01,2.44640662599920e-04	-2.49638721027269e-01,-6.26445021697807e-04	-2.49677452971438e-01,-2.07790713567118e-04	-2.49727910947547e-01,6.29764824491630e-04
5.97597597597598e+03	-2.49733926880617e-01,2.53227607100759e-04	-2.49635304067819e-01,-6.48360564922628e-04	-2.49676726412742e-01,-2.15075538435722e-04	-2.49730678658779e-01,6.51757799916624e-04
6.17117117117117e+03	-2.49737019832861e-01,2.61847158838927e-04	-2.49631768073973e-01,-6.70354695396923e-04	-2.49675974327090e-01,-2.22388534459474e-04	-2.49733540817031e-01,6.73824253768501e-04
6.36636636636637e+03	-2.49740216934695e-01,2.70500545836094e-04	-2.49628112490602e-01,-6.92430266574335e-04	-2.49675196576275e-01,-2.29730712790845e-04	-2.49736497671405e-01,6.95966889110553e-04
6.56156156156156e+03	-2.49743518648045e-01,2.79189008499190e-04	-2.49624336743376e-01,-7.14590165155423e-04	-2.49674393017919e-01,-2.37103098001928e-04	-2.49739549478149e-01,7.18188435471327e-04
6.75675675675676e+03	-2.49746925451250e-01,2.87913800508241e-04	-2.49620440238367e-01,-7.36837312028994e-04	-2.49673563504624e-01,-2.44506728253205e-04	-2.49742696501738e-01,7.40491650307336e-04
6.95195195195195e+03	-2.49750437838517e-01,2.96676189594021e-04	-2.49616422362130e-01,-7.59174663324588e-04	-2.49672707884969e-01,-2.51942655525115e-04	-2.49745939014351e-01,7.62879320340536e-04
7.14714714714715e+03	-2.49754056320975e-01,3.05477458372289e-04	-2.49612282481349e-01,-7.81605211508549e-04	-2.49671826002623e-01,-2.59411945911210e-04	-2.49749277296078e-01,7.85354262941855e-04
7.34234234234234e+03	-2.49757781426555e-01,3.14318905111452e-04	-2.49608019943047e-01,-8.04131986536892e-04	-2.49670917696721e-01,-2.66915679936567e-04	-2.49752711634481e-01,8.07919327469981e-04
7.53753753753754e+03	-2.49761613699793e-01,3.23201844495565e-04	-2.49603634074087e-01,-8.26758057076614e-04	-2.49669982802057e-01,-2.74454952905255e-04	-2.49756242325023e-01,8.30577396645685e-04
7.73273273273273e+03	-2.49765553702526e-01,3.32127608398568e-04	-2.49599124181097e-01,-8.49486531770955e-04	-2.49669021148698e-01,-2.82030875307669e-04	-2.49759869670899e-01,8.53331387908006e-04
7.92792792792793e+03	-2.49769602013939e-01,3.41097546648217e-04	-2.49594489550482e-01,-8.72320560545279e-04	-2.49668032562058e-01,-2.89644573234369e-04	-2.49763593982832e-01,8.76184254787357e-04
8.12312312312312e+03	-2.49773759230875e-01,3.50113027783631e-04	-2.49589729447954e-01,-8.95263335987411e-04	-2.49667016863289e-01,-2.97297188819393e-04	-2.49767415578947e-01,8.99138988280230e-04
8.31831831831832e+03	-2.49778025967557e-01,3.59175439823087e-04	-2.49584843118873e-01,-9.18318094726464e-04	-2.49665973868679e-01,-3.04989880717413e-04	-2.49771334785206e-01,9.22198618285014e-04
8.51351351351351e+03	-2.49782402856634e-01,3.68286191055592e-04	-2.49579829787275e-01,-9.41488118926825e-04	-2.49664903390092e-01,-3.12723824598684e-04	-2.49775351934940e-01,9.45366215004751e-04
8.70870870870871e+03	-2.49786890548453e-01,3.77446710796726e-04	-2.49574688656685e-01,-9.64776737753353e-04	-2.49663805234834e-01,-3.20500213669028e-04	-2.49779467368931e-01,9.68644890402086e-04
8.90390390390391e+03	-2.49791489712515e-01,3.86658450239981e-04	-2.49569418909036e-01,-9.88187328940629e-04	-2.49662679205460e-01,-3.28320259207424e-04	-2.49783681435167e-01,9.92037799682373e-04
9.09909909909910e+03	-2.49796201036525e-01,3.95922883218580e-04	-2.49564019704989e-01,-1.01172332037846e-03	-2.49661525100393e-01,-3.36185191114526e-04	-2.49787994488863e-01,1.01554814279336e-03
