name,status,target_A,Ion_A,Ioff_A,rgon,rgoff,L_nH,step,Eon_uJ,Eoff_uJ,Eon_200ns_uJ,Eoff_200ns_uJ,Vds_LS_peak,Vds_HS_peak,Vgs_LS_min,Vgs_LS_max,Vgs_HS_min,Vgs_HS_max,flags,error
on2_off0.5_L1_I0,ok,0,5.416175581922007e-06,5.416100001863322e-06,2,0.5,1,500p,8.642067206647492e-05,-6.963029758898e-05,8.642067243250867e-05,-0.00012458095445007887,75.20269883565521,112.15347515938765,-4.014741592261109,4.997909328036529,-4.582854245296602,-2.5796872151610533,"['Vds > 100 V', 'Vgs < -4 V', 'negative signed energy']",
on2_off0.5_L1_I10,ok,10,9.692956076520437,9.926566361516333,2,0.5,1,500p,7.926160085823034,3.7112254422446807,7.933627328816569,3.7924753455296827,83.92747202062945,112.14538142169305,-4.058603513143726,5.168668923435681,-4.879594361201805,-2.5439534952728993,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off0.5_L1_I20,ok,20,19.581476491090708,19.85613090686527,2,0.5,1,500p,11.666547043613587,3.4813633331255267,11.699139741828024,3.724029944485385,89.07870314236763,112.14538142169305,-4.197239868710625,5.168668923435681,-4.934150558849929,-2.5439534952728993,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off0.5_L1_I30,ok,30,29.43331511659041,29.730116837298176,2,0.5,1,500p,14.858497268527493,3.8199997721545738,14.927563552410339,3.731001010783117,87.81589085667856,112.14538142169305,-4.161767728702462,5.168668923435681,-5.055396439321697,-2.5439534952728993,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off0.5_L1_I40,ok,40,39.227399351418946,39.54129234821858,2,0.5,1,500p,18.55429091640811,3.327689279768038,18.675355402378802,3.5960548237359737,92.71587946293424,112.14538142169305,-4.2901818688824624,5.168668923435681,-5.129675965996356,-2.5439534952728993,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off0.5_L1_I50,ok,50,48.95319874246438,49.28250578820759,2,0.5,1,500p,22.881315179662057,3.48988249959926,23.07014650089968,3.8126967733498613,88.96289820148066,112.14538142169305,-4.204356806736363,5.168668923435681,-5.167478383556926,-2.5439534952728993,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off0.5_L5_I0,ok,0,5.416172474425856e-06,5.416099388731485e-06,2,0.5,5,500p,0.013551235364604486,0.024064782997036144,0.013571765602217224,0.010307864631158604,75.19695364407829,169.57901385371056,-4.418249459372133,5.268569139987661,-4.814462261078087,-2.855790097813039,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on2_off0.5_L5_I10,ok,10,9.694255346516323,9.927831110791152,2,0.5,5,500p,2.8971989619870673,3.9524383215278958,2.9544475561513543,4.1904179222973506,88.84995049964776,185.97352695165588,-4.078018161778407,5.318558719879624,-4.987786518953013,-2.615943869653458,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on2_off0.5_L5_I20,ok,20,19.58238236487208,19.855217908645347,2,0.5,5,500p,3.9160629707475274,3.8443482164188247,3.9967212690220655,4.618197675095599,117.36618877574838,187.2578847303028,-4.3592965336405705,5.323364142445753,-5.016480982669385,-2.613448509624893,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on2_off0.5_L5_I30,ok,30,29.433365530918813,29.727237774716976,2,0.5,5,500p,4.3119072316624,3.7902883409674257,4.378239823592086,4.049032434750378,86.7722787883519,187.01445204254816,-4.060481188920857,5.267723530169261,-5.022360324053553,-2.6256598178800945,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on2_off0.5_L5_I40,ok,40,39.22611720200454,39.53646772348647,2,0.5,5,500p,6.911534230369345,2.4709739740902026,7.087282806721094,4.127299388934377,141.37037483507945,186.56856690246286,-4.573308103429003,5.322811131184684,-5.024660814418481,-2.634967082604008,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on2_off0.5_L5_I50,ok,50,48.95022469107298,49.27576117498135,2,0.5,5,500p,8.323438695290028,1.4302115342034243,8.580631350880024,1.7198956586282867,133.60085476537662,188.64089377534873,-4.50591171933843,5.330747959420883,-5.0732702007136155,-2.621545200968723,"['Vds > 100 V', 'Vds > 120 V', 'Vgs < -4 V']",
on5_off2_L1_I10,ok,10,9.66175977769753,9.880698449545273,5,2,1,500p,10.790775635893421,3.79609695565645,10.799613054455191,3.7072844649624748,86.05517865963272,91.58729430183988,-4.04715750204595,5.005625779514148,-4.439844977801258,-2.937593106453271,['Vgs < -4 V'],
on5_off2_L1_I0,ok,0,5.4161746393492104e-06,5.416099080363022e-06,5,2,1,500p,8.011039516553265e-05,-5.027301176825191e-05,8.012101924711267e-05,-6.609704640635754e-05,75.10051383968403,88.98451378165329,-4.0016466788801655,5.0036112724487,-4.349587987506663,-3.117070079609343,"['Vgs < -4 V', 'negative signed energy']",
on5_off2_L1_I30,ok,30,29.40368776383065,29.684759247099937,5,2,1,500p,20.18424542475162,3.728365303072216,20.25312365906211,3.925126609892769,87.58231677789975,91.853172906982,-4.067219107606366,5.006539804997856,-4.687373069121293,-2.9581597469682874,['Vgs < -4 V'],
on5_off2_L1_I20,ok,20,19.551029304491593,19.810501625703456,5,2,1,500p,15.144229292022025,4.109926947557434,15.175534978490072,3.8866036653859433,88.48484836710176,91.58742692509115,-4.076472453641152,5.00599028006933,-4.680366106186369,-2.9559300355275724,['Vgs < -4 V'],
on5_off2_L1_I40,ok,40,39.19818395975987,39.49623913087313,5,2,1,500p,26.097203889636084,4.295345277129459,26.219041509837368,4.379435163498877,89.5737133727084,91.47036675215982,-4.091510791354528,5.006544896152126,-4.7298076236914,-2.967221592510505,['Vgs < -4 V'],
on5_off2_L1_I50,ok,50,48.92459196319294,49.237789223223785,5,2,1,500p,32.8222845009352,4.47994536392819,33.01312900683764,4.411950516128926,83.70389753142616,90.47876057329502,-4.030398371275416,5.006043153796095,-4.748542354879547,-2.990801143479504,['Vgs < -4 V'],
on5_off0.5_L1_I0,ok,0,5.416174660253029e-06,5.416099080328976e-06,5,0.5,1,500p,8.603728734524244e-05,-7.00734774532851e-05,8.605089394279775e-05,-0.00012473133588006356,75.10117683522849,88.98278873720362,-4.014651775138395,5.003607923319416,-4.349477334387917,-3.117172288316273,"['Vgs < -4 V', 'negative signed energy']",
on5_off0.5_L1_I10,ok,10,9.647330203097937,9.880698514489955,5,0.5,1,500p,10.782307025544497,3.7077714345750956,10.791124029302344,3.7869541190265235,83.93910770753321,91.58986586958092,-4.053738047440341,5.005624492234835,-4.462839833257391,-2.9373439292105186,['Vgs < -4 V'],
on5_off0.5_L1_I20,ok,20,19.535969510441273,19.810501690309238,5,0.5,1,500p,15.127948433956316,3.4841850567328465,15.15920851753268,3.721403429365835,89.08841432608067,91.58172019070776,-4.19758361394643,5.0059824411056715,-4.7030966790530755,-2.9563218845484274,['Vgs < -4 V'],
on5_off0.5_L1_I30,ok,30,29.38806288105189,29.68475931131928,5,0.5,1,500p,20.185105554493706,3.821913379201527,20.253908095688935,3.7329258282740145,87.69864160016725,91.84184190805107,-4.158928691563734,5.006524099004534,-4.687285837807352,-2.9585431849087156,['Vgs < -4 V'],
on5_off0.5_L1_I40,ok,40,39.18248767228938,39.496239194659054,5,0.5,1,500p,26.078098836370277,3.3340354153893266,26.199844999939202,3.5910558544218842,92.70517699245755,91.50317099682596,-4.290909612335401,5.006582984016368,-4.734242765649512,-2.9665086212668803,['Vgs < -4 V'],
on5_off0.5_L1_I50,ok,50,48.90854621462369,49.23778928652957,5,0.5,1,500p,32.81066810698176,3.4888567098392227,33.00138473393441,3.813316564131294,88.99858352043779,90.48530235519317,-4.205152603132,5.006054567391354,-4.748545305407305,-2.990657702347927,['Vgs < -4 V'],
on2_off2.5_L1_I0,ok,0,5.416175595842583e-06,5.416100001867707e-06,2,2.5,1,500p,9.358244697602718e-05,-6.74809889206594e-05,9.367575285750964e-05,-8.330307079183589e-05,75.20222642568676,112.15320999940938,-4.001135357354488,4.998247001640804,-4.582002197920019,-2.5795933721453617,"['Vds > 100 V', 'Vgs < -4 V', 'negative signed energy']",
on2_off2.5_L1_I10,ok,10,9.712451363266787,9.92656747780567,2,2.5,1,500p,8.86224772041688,3.8806246144451646,8.873535488939405,3.769032158689936,86.08187539397778,112.14580260325621,-4.038173816636046,5.168400785414332,-4.87986738241896,-2.4492518385726125,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off2.5_L1_I20,ok,20,19.602111288002803,19.856132023235716,2,2.5,1,500p,11.674966860320524,3.842714593046512,11.707619542219273,4.0013250376562235,87.89390830752235,112.14580260325621,-4.0572176124706845,5.168400785414332,-4.936044506542103,-2.5441978584774283,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off2.5_L1_I30,ok,30,29.454441000797143,29.730117952902194,2,2.5,1,500p,14.862246269868335,3.8081670009660926,14.931412809909673,3.79732022810172,87.88574983800328,112.14580260325621,-4.058517931771124,5.168400785414332,-5.054670410922313,-2.5441978584774283,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off2.5_L1_I40,ok,40,39.248680758956084,39.54129346221431,2,2.5,1,500p,18.556217322570113,3.9046505069645483,18.677404772772398,4.303811635116491,88.29468516257285,112.14580260325621,-4.064181104827487,5.168400785414332,-5.128994114607721,-2.5441978584774283,"['Vds > 100 V', 'Vgs < -4 V']",
on2_off2.5_L1_I50,ok,50,48.97471692729668,49.28250689975623,2,2.5,1,500p,22.89469611514812,4.54141184719654,23.083698572065497,4.570531542419714,83.17696163926777,112.14580260325621,-4.0203023929941555,5.168400785414332,-5.168781344822207,-2.5441978584774283,"['Vds > 100 V', 'Vgs < -4 V']",
