L_nH,target_A,Ron_ohm,Roff_ohm,event,Iref_A,dv_dt_V_per_ns,di_dt_A_per_ns,voltage_transition_ns,current_transition_ns,voltage_crossing_start_ns,voltage_crossing_end_ns,current_crossing_start_ns,current_crossing_end_ns,run
1,15,0.5,0.5,on2,14.764539176785394,-12.4785102319788,14.621754178402226,4.808266282159021,0.8078121952614457,7.591240660837452,12.399506942996473,7.408431295347588,8.216243490609035,I15_L1_on0.5_off0.5_125p_additional_check
1,15,0.5,0.5,off1,15.023839558867827,5.3810462314752945,-0.9111086252009384,11.150248003639637,13.191699995643816,5.953951687418862,17.1041996910585,4.949761226266357,18.141461221910173,I15_L1_on0.5_off0.5_125p_additional_check
1,15,0.5,0.5,off2,18.451261242654414,6.102585148845094,-1.036836122436871,9.831898865246464,14.236588284974877,5.546125964346712,15.378024829593176,4.967248459404988,19.203836744379863,I15_L1_on0.5_off0.5_125p_additional_check
1,30,0.5,0.5,on2,29.72448958830902,-10.947155214251293,21.076444854360194,5.480875974233967,1.1282544012980353,7.590703104555616,13.071579078789583,7.5937713744843816,8.722025775782416,I30_L1_on0.5_off0.5_125p_additional_check
1,30,0.5,0.5,off1,30.021826609777126,10.607778193151951,-3.2524181188036025,5.656226865559286,7.384493755266771,4.936506320848267,10.592733186407552,4.9766743813560845,12.361168136622856,I30_L1_on0.5_off0.5_125p_additional_check
1,30,0.5,0.5,off2,33.374949288419856,11.36495329624459,-3.608812707248179,5.27938817133778,7.398543952450044,4.904126680543205,10.183514851880984,5.041178352114173,12.439722304564217,I30_L1_on0.5_off0.5_125p_additional_check
1,45,0.5,0.5,on2,44.69286071847677,-9.468777926350105,24.912885677343397,6.336614974676883,1.435172506222254,7.58360389716254,13.920218871839424,7.730800214917531,9.165972721139786,I45_L1_on0.5_off0.5_125p_additional_check
1,45,0.5,0.5,off1,45.015662253408536,14.886246085326395,-5.570460983836735,4.0305661787455564,6.464910158642326,4.655608273606087,8.686174452351644,5.0014726259482405,11.466382784590566,I45_L1_on0.5_off0.5_125p_additional_check
1,45,0.5,0.5,off2,48.30037883344242,17.4017952697131,-10.82828821312157,3.447920118013732,3.5684590496889577,4.650588016052168,8.0985081340659,5.044609163211696,8.613068212900654,I45_L1_on0.5_off0.5_125p_additional_check
3,15,0.5,0.5,on2,14.765447617029693,-12.15904156013488,12.217146631937439,4.934599466846006,0.9668671785230515,7.548472604611272,12.483072071457277,7.79760690401132,8.764474082534372,I15_L3_on0.5_off0.5_125p_additional_check
3,15,0.5,0.5,off1,15.02404651730238,5.463503229156343,-0.9812062722846153,10.981964773042701,12.249450042605847,5.784971475769747,16.76693624881245,5.542008240037398,17.791458282643244,I15_L3_on0.5_off0.5_125p_additional_check
3,15,0.5,0.5,off2,18.455039666593006,6.791260553984307,-1.4478349285998335,8.834884116587032,10.197317001843812,5.1865890942247095,14.021473210811742,5.905662282412449,16.10297928425626,I15_L3_on0.5_off0.5_125p_additional_check
3,30,0.5,0.5,on2,29.726042494926137,-10.50821481158516,15.057582643287773,5.709818563458643,1.5793261481145984,7.686096978850237,13.39591554230888,7.922913920041218,9.502240068155816,I30_L3_on0.5_off0.5_125p_additional_check
3,30,0.5,0.5,off1,30.022020656983916,9.874432268866078,-2.445588016874208,6.076298704197811,9.820794164785323,4.891369451406809,10.96766815560462,5.540208078481356,15.361002243266679,I30_L3_on0.5_off0.5_125p_additional_check
3,30,0.5,0.5,off2,33.37962628464111,14.725708386252029,-10.561055217025842,4.07450687099143,2.5285069038047387,4.655054391119947,8.729561262111377,6.042201750433614,8.570708654238352,I30_L3_on0.5_off0.5_125p_additional_check
3,45,0.5,2.0,on2,44.71119735583958,-8.69626626349112,18.920274046053628,6.899512754329233,1.8905095030656978,7.420212101741545,14.31972485607078,8.264585756797844,10.155095259863542,I45_L3_on0.5_off2_125p_additional_check
3,45,0.5,2.0,off1,45.015846245406955,20.067078198091288,-9.996504838336358,2.9899719036180863,3.6025268410032476,8.329770782098326,11.319742685716411,9.420938855650451,13.023465696653698,I45_L3_on0.5_off2_125p_additional_check
3,45,0.5,2.0,off2,48.32179541479656,19.17863209640979,-9.977100313448142,3.128481723742535,3.874616383252243,8.228149998268693,11.356631722011226,9.181237393696964,13.055853776949206,I45_L3_on0.5_off2_125p_additional_check
5,15,4.0,1.0,on2,14.716190876384262,-6.7237880111590105,4.830733836221702,8.923541298509429,2.437094052425682,20.811905267490637,29.735446566000064,20.428701903880377,22.86579595630606,I15_L5_on4_off1_125p_additional_check
5,15,4.0,1.0,off1,14.969065430047868,5.359354096797148,-0.8521458990160036,11.195378942372392,14.053054010899366,6.955710947993087,18.15108989036548,7.293609170342478,21.346663181241844,I15_L5_on4_off1_125p_additional_check
5,15,4.0,1.0,off2,18.342373508841273,6.794095913554854,-5.461969244353082,8.831197081026545,2.6865582998739503,6.991154146713719,15.822351227740263,15.635442125030464,18.322000424904413,I15_L5_on4_off1_125p_additional_check
5,30,4.5,1.5,on2,29.675857834428665,-5.6051829422369,6.674394820371657,10.7043785400616,3.5569796073617588,22.809665992069373,33.514044532130974,22.707277801751246,26.264257409113004,I30_L5_on4.5_off1.5_125p_additional_check
5,30,4.5,1.5,off1,29.95987919410807,14.211605660659238,-5.133799623606352,4.2219015523413255,4.668648001974349,7.388874554473915,11.61077610681524,8.452134079146134,13.120782081120483,I30_L5_on4.5_off1.5_125p_additional_check
5,30,4.5,1.5,off2,33.25696287002418,8.725870017459965,-2.530793174105573,6.876105176898515,10.512739866789873,7.236528104736533,14.112633281635048,7.828000956833916,18.34074082362379,I30_L5_on4.5_off1.5_125p_additional_check
