target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
15,1,0.5,0.5,500p,ok,True,85.08966703556531,15.02375305083894,14.763438020436634,18.45051065998021,I15_L1_on0.5_off0.5_500p_search,
15,1,0.5,0.5,250p,ok,True,88.39484522247008,15.023799482199427,14.764592276650982,18.451315398645022,I15_L1_on0.5_off0.5_250p_verification,
15,1,0.5,0.5,125p,ok,True,88.47411155633255,15.023839558867827,14.764539176785394,18.451261242654414,I15_L1_on0.5_off0.5_125p_additional_check,
15,1,1.0,0.5,500p,ok,True,88.43404580038138,15.015658829564801,14.756478338356048,18.434147415141748,I15_L1_on1_off0.5_500p_neighbour,
15,1,0.5,1.0,500p,ok,True,88.23483261582528,15.02372112928134,14.769110272298827,18.455649020223436,I15_L1_on0.5_off1_500p_neighbour,
30,1,0.5,0.5,500p,ok,True,88.19660861535779,30.021740890193747,29.724388632573923,33.374848518903555,I30_L1_on0.5_off0.5_500p_search,
30,1,0.5,0.5,250p,ok,True,88.19638506598825,30.021786885034828,29.72446292071497,33.37492293837432,I30_L1_on0.5_off0.5_250p_verification,
30,1,0.5,0.5,125p,ok,True,88.21098710691813,30.021826609777126,29.72448958830902,33.374949288419856,I30_L1_on0.5_off0.5_125p_additional_check,
30,1,1.0,0.5,500p,ok,True,86.35203405862046,30.01371756689033,29.71667486206273,33.35781352297586,I30_L1_on1_off0.5_500p_neighbour,
30,1,0.5,1.0,500p,ok,True,88.47711202565705,30.021711566186486,29.729342032769573,33.379790054183324,I30_L1_on0.5_off1_500p_neighbour,
45,1,0.5,0.5,500p,ok,True,91.79778380424354,45.015577476109534,44.69277648553043,48.30028849345993,I45_L1_on0.5_off0.5_500p_search,
45,1,0.5,0.5,250p,ok,True,91.80141192396744,45.01562295163115,44.6928233269063,48.300334825731824,I45_L1_on0.5_off0.5_250p_verification,
45,1,0.5,0.5,125p,ok,True,91.80041698383529,45.015662253408536,44.69286071847677,48.30037883344242,I45_L1_on0.5_off0.5_125p_additional_check,
45,1,1.0,0.5,500p,ok,True,91.80683405551558,45.00763922505159,44.68483577740718,48.28274023582081,I45_L1_on1_off0.5_500p_neighbour,
45,1,0.5,1.0,500p,ok,True,90.64023596024832,45.01554843590379,44.69794557171393,48.30544219151333,I45_L1_on0.5_off1_500p_neighbour,
15,3,0.5,0.5,500p,ok,True,89.56033418644536,15.023930782652364,14.765275666207614,18.455164319258746,I15_L3_on0.5_off0.5_500p_search,
15,3,0.5,0.5,250p,ok,True,89.55348976561352,15.024008065887234,14.765523449654257,18.45539564859637,I15_L3_on0.5_off0.5_250p_verification,
15,3,0.5,0.5,125p,ok,True,89.66194794079743,15.02404651730238,14.765447617029693,18.455039666593006,I15_L3_on0.5_off0.5_125p_additional_check,
15,3,1.0,0.5,500p,ok,True,89.56206159034161,15.015849819567046,14.757411625209215,18.438300921265245,I15_L3_on1_off0.5_500p_neighbour,
15,3,0.5,1.0,500p,ok,True,89.32102667599491,15.023930950117691,14.770138144191971,18.459997861726208,I15_L3_on0.5_off1_500p_neighbour,
30,3,0.5,0.5,500p,ok,True,95.07615628424588,30.021905899660087,29.726186790968036,33.37980535424438,I30_L3_on0.5_off0.5_500p_search,
30,3,0.5,0.5,250p,ok,True,95.30710164465434,30.021982613925395,29.726001570443312,33.37964095289198,I30_L3_on0.5_off0.5_250p_verification,
30,3,0.5,0.5,125p,ok,True,97.0847969746494,30.022020656983916,29.726042494926137,33.37962628464111,I30_L3_on0.5_off0.5_125p_additional_check,
30,3,1.0,0.5,500p,ok,True,93.10182410101127,30.013895747230944,29.71819026104906,33.36257299077537,I30_L3_on1_off0.5_500p_neighbour,
30,3,0.5,1.0,500p,ok,True,96.45400502468276,30.021906068852047,29.730999757293063,33.384584906566374,I30_L3_on0.5_off1_500p_neighbour,
45,3,0.5,0.5,500p,ok,False,109.23870625347698,45.0157068282406,44.69505133885828,48.305358785667906,I45_L3_on0.5_off0.5_500p_search,
45,3,0.5,1.0,500p,ok,False,107.66146068603109,45.01570699937782,44.700244241994305,48.31051312453027,I45_L3_on0.5_off1_500p_search,
45,3,1.0,0.5,500p,ok,False,108.59911414149559,45.00778163943677,44.68713699648325,48.28819361027483,I45_L3_on1_off0.5_500p_search,
45,3,0.5,1.5,500p,ok,False,102.33494822036957,45.01570738968019,44.705597897052165,48.315839838392705,I45_L3_on0.5_off1.5_500p_search,
45,3,1.0,1.0,500p,ok,False,105.49803847863735,45.0077818976068,44.69232965181289,48.293400153515016,I45_L3_on1_off1_500p_search,
45,3,1.5,0.5,500p,ok,False,107.37578313531371,44.99995665205546,44.679322903651844,48.2709228525741,I45_L3_on1.5_off0.5_500p_search,
45,3,0.5,2.0,500p,ok,True,96.20909508243918,45.01570696045896,44.71102625083019,48.32131374953485,I45_L3_on0.5_off2_500p_search,
45,3,0.5,2.0,250p,ok,True,96.20933844440907,45.01579131567729,44.71111378509291,48.32137132565745,I45_L3_on0.5_off2_250p_verification,
45,3,0.5,2.0,125p,ok,True,96.21830683901379,45.015846245406955,44.71119735583958,48.32179541479656,I45_L3_on0.5_off2_125p_additional_check,
45,3,1.0,2.0,500p,ok,True,96.19306982505154,45.00778153538697,44.70311317937488,48.304048827587046,I45_L3_on1_off2_500p_neighbour,
45,3,0.5,2.5,500p,ok,True,98.62541040960056,45.015707843386515,44.716537387310254,48.32679936573454,I45_L3_on0.5_off2.5_500p_neighbour,
15,5,0.5,0.5,500p,ok,True,98.18891040146207,15.023720150693483,14.766159153432126,18.45751771223739,I15_L5_on0.5_off0.5_500p_search,
15,5,0.5,0.5,250p,ok,False,126.17822553775605,15.023822038665616,14.765954879771614,18.457290256356096,I15_L5_on0.5_off0.5_250p_verification,
15,5,0.5,1.0,500p,ok,False,122.132057055612,15.023720097521817,14.770960495974695,18.462320313842472,I15_L5_on0.5_off1_500p_search,
15,5,1.0,0.5,500p,ok,False,127.02257808539504,15.015713114562649,14.758109973566775,18.440600047445113,I15_L5_on1_off0.5_500p_search,
