Designator | Quantity | Value | MFG | MFGPN | SchDescript | Footprint | Comment | 
C40, C41, CS1_Ti1_C3, CS2_Ti2_C3, CS3_Ti3_C3 | 5 | 100nF | AVX | 08055C104KAT2A | 100nF 50V | CC0805 | 08055C104KAT2A | 
C60, C71 | 2 | 22uF | TDK | C2012X5R1C226K125AC | 22uF 16V | CC0805 | C2012X5R1C226K125AC | 
C80 | 1 | 4.7uF | TDK | CGA4J1X7R1E475K125AC | 4.7uF 25V | CC0805 | CGA4J1X7R1E475K125AC | 
C85, C86, C87, OCP1_C8, OCP1_C13, OCP2_C8, OCP2_C13, OCP3_C8, OCP3_C13 | 9 | 1nF | Panasonic | ECH-U1C102JX5 | 1nF 50V | CC0805 | ECH-U1C102JX5 | 
C90 | 1 | 2.2uF | Murata | GRM21BD72A225KE01L | 2.2uF 100V | CC0805 | GRM21BD72A225KE01L | 
C91 | 1 | 1uF | TDK | C2012X5R1E105K125AA | 1uF 25V | CC0805 | C2012X5R1E105K125AA | 
C92, C96, OCP1_C21, OCP2_C21, OCP3_C21 | 5 | 100nF | KEMET | C0805C104K1RACTU | 100nF 100V | CC0805 | C0805C104K1RACTU | 
C93 | 1 | 680pF | Wurth | 885012207085 | 680pF 50V | CC0805 | 885012207085 | 
C94, C95 | 2 | 10uF | Taiyo Yuden | TMK212BBJ106KG-T | 10uF 25V | CC0805 | TMK212BBJ106KG-T | 
C100, C101 | 2 | 1uF | TDK | C1608X7R1E105K080AB | 1uF 25V | CC0603 | C1608X7R1E105K080AB | 
C700, CS1_Ti1_C4, CS2_Ti2_C4, CS3_Ti3_C4, F1_C27, F2_C27, F3_C27 | 7 | 10nF | TDK | C2012X7R2A103K085AM | 10nF 100V | CC0805 | C2012X7R2A103K085AM | 
CMI1, CMI2, CMI3, CMI4, CMI5, CMI6, CMI7, CMI8, CMI9, CMI10, CMI11, CMI12, CMI13, CMI14, CMI15, CMI16, CMI17, CMI18, CMI19, CMI20, CMI21, CMI22, CMI23, CMI24, CMI25, CMI26, CMI27, CMI28, CMI29, CMI30, CMI31, CMI32, CMI33, CMI34, CMI35, CMI36, CMI37, CMI38, CMI39, CMI40, CMI41, CMI42, CMI43, CMI44, CMI45, CMI46, CMI47, CMI48, CMI49, CMI50, CMI51, CMI52, CMI53, CMI54, CMI55, CMI56, CMI57, CMI58, CMI59, CMI60, CMI61, CMI62, CMI63, CMI64, CMI65, CMI66, CMI67, CMI68, CMI69, CMI70, CMI71, CMI72 | 72 | 10uF | Murata | GRM32EC72A106KE05L | 10uF 100V | CC1210 | GRM32EC72A106KE05L | 
