Cells,Levels,DeviceVendor,Vcell_V,Required_Device_V,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,Pcond_W,Psw_W,Psemi_W,Efficiency_pct,Total_Switches,Gate_Drivers,Practical_Score_W
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,6,32,127,0.466653777474796,2457.6,109.728,2567.328,92.1168601857665,108,18,2571.828
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,7,32,127,0.466653777474796,2106.51428571429,128.016,2234.53028571429,93.0678987225553,126,18,2239.03028571429
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,8,32,127,0.466653777474796,1843.2,146.304,1989.504,93.7807600893093,144,18,1994.004
3,4,LMG3522R030-Q1 | Texas Instruments,400,600,650,6,35,235,0.328022536107702,2688,203.04,2891.04,91.2102505728004,108,18,2895.54
3,4,LMG3522R030-Q1 | Texas Instruments,400,600,650,7,35,235,0.328022536107702,2304,236.88,2540.88,92.1917292955814,126,18,2545.38
3,4,LMG3522R030-Q1 | Texas Instruments,400,600,650,8,35,235,0.328022536107702,2016,270.72,2286.72,92.9174595623216,144,18,2291.22
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,6,32,127,0.466653777474796,3276.8,82.296,3359.096,89.9304945193959,144,24,3365.096
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,7,32,127,0.466653777474796,2808.68571428571,96.012,2904.69771428571,91.1723920410774,168,24,2910.69771428571
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,8,32,127,0.466653777474796,2457.6,109.728,2567.328,92.1168601857665,192,24,2573.328
4,5,LMG3522R030-Q1 | Texas Instruments,300,450,650,6,35,235,0.328022536107702,3584,152.28,3736.28,88.9250385638251,144,24,3742.28
4,5,LMG3522R030-Q1 | Texas Instruments,300,450,650,7,35,235,0.328022536107702,3072,177.66,3249.66,90.2264865264788,168,24,3255.66
4,5,LMG3522R030-Q1 | Texas Instruments,300,450,650,8,35,235,0.328022536107702,2688,203.04,2891.04,91.2102505728004,192,24,2897.04
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,6,32,127,0.466653777474796,4096,65.8368,4161.8368,87.8172920725387,180,30,4169.3368
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,7,32,127,0.466653777474796,3510.85714285714,76.8096,3587.66674285714,89.318499643563,210,30,3595.16674285714
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,8,32,127,0.466653777474796,3072,87.7824,3159.7824,90.4710400029646,240,30,3167.2824
5,6,LMG3522R030-Q1 | Texas Instruments,240,360,650,6,35,235,0.328022536107702,4480,121.824,4601.824,86.7006317354831,180,30,4609.324
5,6,LMG3522R030-Q1 | Texas Instruments,240,360,650,7,35,235,0.328022536107702,3840,142.128,3982.128,88.2816991331443,210,30,3989.628
5,6,LMG3522R030-Q1 | Texas Instruments,240,360,650,8,35,235,0.328022536107702,3360,162.432,3522.432,89.4923136841623,240,30,3529.932
6,7,EPC7030MSH | EPC Space,200,300,300,7,26,235,0.380584441596005,3423.08571428571,118.44,3541.52571428571,89.4413696489145,252,36,3550.52571428571
6,7,EPC7030MSH | EPC Space,200,300,300,8,26,235,0.380584441596005,2995.2,135.36,3130.56,90.5508388629712,288,36,3139.56
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,6,32,127,0.466653777474796,4915.2,54.864,4970.064,85.7876611263851,216,36,4979.064
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,7,32,127,0.466653777474796,4213.02857142857,64.008,4277.03657142857,87.5221518566349,252,36,4286.03657142857
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,8,32,127,0.466653777474796,3686.4,73.152,3759.552,88.8637384761504,288,36,3768.552
6,7,LMG3522R030-Q1 | Texas Instruments,200,300,650,6,35,235,0.328022536107702,5376,101.52,5477.52,84.5605893534836,216,36,5486.52
6,7,LMG3522R030-Q1 | Texas Instruments,200,300,650,7,35,235,0.328022536107702,4608,118.44,4726.44,86.3895060939158,252,36,4735.44
6,7,LMG3522R030-Q1 | Texas Instruments,200,300,650,8,35,235,0.328022536107702,4032,135.36,4167.36,87.8030962883875,288,36,4176.36
7,8,EPC7030MSH | EPC Space,171.428571428571,257.142857142857,300,7,26,235,0.380584441596005,3993.6,101.52,4095.12,87.9891315824669,294,42,4105.62
7,8,EPC7030MSH | EPC Space,171.428571428571,257.142857142857,300,8,26,235,0.380584441596005,3494.4,116.022857142857,3610.42285714286,89.2580260817053,336,42,3620.92285714286
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,6,32,127,0.466653777474796,5734.4,47.0262857142857,5781.42628571428,83.8423816883384,252,42,5791.92628571428
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,7,32,127,0.466653777474796,4915.2,54.864,4970.064,85.7876611263851,294,42,4980.564
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,8,32,127,0.466653777474796,4300.8,62.7017142857143,4363.50171428571,87.3019293826167,336,42,4374.00171428571
7,8,LMG3522R030-Q1 | Texas Instruments,171.428571428571,257.142857142857,650,6,35,235,0.328022536107702,6272,87.0171428571429,6359.01714285714,82.5104811885533,252,42,6369.51714285714
7,8,LMG3522R030-Q1 | Texas Instruments,171.428571428571,257.142857142857,650,7,35,235,0.328022536107702,5376,101.52,5477.52,84.5605893534836,294,42,5488.02
