Cells,Levels,DeviceVendor,Vcell_V,Required_Device_V,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,Pcond_W,Psw_W,Psemi_W,Efficiency_pct,Gate_Drivers,Total_Devices,Practical_Score_W
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,7,32,127,0.466653777474796,3483.78949201995,25.6032,3509.39269201995,98.8437284721593,18,126,3799.79269201995
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,8,32,127,0.466653777474796,3048.31580551745,29.2608,3077.57660551745,98.9845581319521,18,144,3375.17660551745
3,4,LMG3522R030-Q1 | Texas Instruments,400,600,650,8,35,235,0.328022536107702,3334.09541228471,54.144,3388.23941228471,98.8832001468322,18,144,3685.83941228471
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,7,32,127,0.466653777474796,4645.0526560266,19.2024,4664.2550560266,98.4690507735576,24,168,5051.4550560266
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,8,32,127,0.466653777474796,4064.42107402327,21.9456,4086.36667402327,98.6561822160203,24,192,4483.16667402327
4,5,LMG3522R030-Q1 | Texas Instruments,300,450,650,8,35,235,0.328022536107702,4445.46054971295,40.608,4486.06854971295,98.5266752692232,24,192,4882.86854971295
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,7,32,127,0.466653777474796,5806.31582003324,15.36192,5821.67774003324,98.0963815962772,30,210,6305.67774003324
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,8,32,127,0.466653777474796,5080.52634252909,17.55648,5098.08282252909,98.329034789283,30,240,5594.08282252909
5,6,LMG3522R030-Q1 | Texas Instruments,240,360,650,8,35,235,0.328022536107702,5556.82568714119,32.4864,5589.31208714119,98.1709726531446,30,240,6085.31208714119
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,7,32,127,0.466653777474796,6967.57898403989,12.8016,6980.38058403989,97.7261150791593,36,252,7561.18058403989
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,8,32,127,0.466653777474796,6096.63161103491,14.6304,6111.26201103491,98.003581452415,36,288,6706.46201103491
6,7,LMG3522R030-Q1 | Texas Instruments,200,300,650,8,35,235,0.328022536107702,6668.19082456943,27.072,6695.26282456943,97.816965686751,36,288,7290.46282456943
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,7,32,127,0.466653777474796,8128.84214804654,10.9728,8139.81494804654,97.3584020781544,42,294,8817.41494804654
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,8,32,127,0.466653777474796,7112.73687954072,12.5403428571429,7125.27722239787,97.680009510504,42,336,7819.67722239787
7,8,LMG3522R030-Q1 | Texas Instruments,171.428571428571,257.142857142857,650,8,35,235,0.328022536107702,7779.55596199767,23.2045714285714,7802.76053342624,97.4650128153809,42,336,8497.16053342624
8,9,GS-065-060-5-T-A | Infineon / GaN Systems,150,225,650,7,32,127,0.466653777474796,9290.10531205319,9.6012,9299.70651205319,96.9933025100718,48,336,10074.1065120532
8,9,GS-065-060-5-T-A | Infineon / GaN Systems,150,225,650,8,32,127,0.466653777474796,8128.84214804654,10.9728,8139.81494804654,97.3584020781544,48,384,8933.41494804654
8,9,LMG3522R030-Q1 | Texas Instruments,150,225,650,8,35,235,0.328022536107702,8890.9210994259,20.304,8911.2250994259,97.1152796093578,48,384,9704.82509942591
9,10,EPC2304 | EPC,133.333333333333,200,200,4,5,704,0.501418442566141,2857.79606767261,27.0336,2884.82966767261,99.0475489740315,54,216,3691.22966767261
9,10,EPC2304 | EPC,133.333333333333,200,200,5,5,704,0.501418442566141,2286.23685413809,33.792,2320.02885413809,99.2325917462592,54,270,3148.02885413809
9,10,EPC2304 | EPC,133.333333333333,200,200,6,5,704,0.501418442566141,1905.19737844841,40.5504,1945.74777844841,99.3555968935598,54,324,2795.34777844841
9,10,EPC2304 | EPC,133.333333333333,200,200,7,5,704,0.501418442566141,1633.02632438435,47.3088,1680.33512438435,99.4430080688913,54,378,2551.53512438435
9,10,EPC2304 | EPC,133.333333333333,200,200,8,5,704,0.501418442566141,1428.89803383631,54.0672,1482.96523383631,99.5081097757261,54,432,2375.76523383631
9,10,EPC2307 | EPC,133.333333333333,200,200,7,10,343,0.507954223047087,3266.0526487687,23.0496,3289.1022487687,98.9155224423228,54,378,4160.3022487687
9,10,EPC2307 | EPC,133.333333333333,200,200,8,10,343,0.507954223047087,2857.79606767261,26.3424,2884.13846767261,99.047775006554,54,432,3776.93846767261
9,10,GS-065-060-5-T-A | Infineon / GaN Systems,133.333333333333,200,650,7,32,127,0.466653777474796,10451.3684760598,8.5344,10459.9028760598,96.630836130798,54,378,11331.1028760598
9,10,GS-065-060-5-T-A | Infineon / GaN Systems,133.333333333333,200,650,8,32,127,0.466653777474796,9144.94741655236,9.7536,9154.70101655236,97.0387961151973,54,432,10047.5010165524
9,10,LMG3522R030-Q1 | Texas Instruments,133.333333333333,200,650,8,35,235,0.328022536107702,10002.2862368541,18.048,10020.3342368541,96.7678461280547,54,432,10913.1342368541
10,11,EPC2304 | EPC,120,180,200,4,5,704,0.501418442566141,3175.32896408068,24.33024,3199.65920408068,98.9447022425817,60,240,4095.65920408068
10,11,EPC2304 | EPC,120,180,200,5,5,704,0.501418442566141,2540.26317126454,30.4128,2570.67597126454,99.1503882644897,60,300,3490.67597126454
10,11,EPC2304 | EPC,120,180,200,6,5,704,0.501418442566141,2116.88597605379,36.49536,2153.38133605379,99.2873217812318,60,360,3097.38133605379
10,11,EPC2304 | EPC,120,180,200,7,5,704,0.501418442566141,1814.47369376039,42.57792,1857.05161376039,99.3847910446907,60,420,2825.05161376039
10,11,EPC2304 | EPC,120,180,200,8,5,704,0.501418442566141,1587.66448204034,48.66048,1636.32496204034,99.4575172727468,60,480,2628.32496204034
10,11,EPC2307 | EPC,120,180,200,7,10,343,0.507954223047087,3628.94738752078,20.74464,3649.69202752078,98.7980583799868,60,420,4617.69202752078
10,11,EPC2307 | EPC,120,180,200,8,10,343,0.507954223047087,3175.32896408068,23.70816,3199.03712408068,98.94490524956,60,480,4191.03712408068
10,11,GS-065-060-5-T-A | Infineon / GaN Systems,120,180,650,7,32,127,0.466653777474796,11612.6316400665,7.68096,11620.3126000665,96.2710028421735,60,420,12588.3126000665
10,11,GS-065-060-5-T-A | Infineon / GaN Systems,120,180,650,8,32,127,0.466653777474796,10161.0526850582,8.77824,10169.8309250582,96.7212056392695,60,480,11161.8309250582
10,11,LMG3522R030-Q1 | Texas Instruments,120,180,650,8,35,235,0.328022536107702,11113.6513742824,16.2432,11129.8945742824,96.4227498648076,60,480,12121.8945742824
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,4,5,704,0.501418442566141,3492.86186048875,22.1184,3514.98026048875,98.8419088054659,66,264,4500.58026048875
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,5,5,704,0.501418442566141,2794.289488391,27.648,2821.937488391,99.0681198621883,66,330,3833.937488391
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,6,5,704,0.501418442566141,2328.57457365917,33.1776,2361.75217365917,99.2188985026444,66,396,3400.15217365917
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,7,5,704,0.501418442566141,1995.92106313643,38.7072,2034.62826313643,99.3263592738235,66,462,3099.42826313643
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,8,5,704,0.501418442566141,1746.43093024437,44.2368,1790.66773024437,99.4066523846771,66,528,2881.86773024437
11,12,EPC2307 | EPC,109.090909090909,163.636363636364,200,7,10,343,0.507954223047087,3991.84212627285,18.8587636363636,4010.70088990922,98.6807369351904,66,462,5075.50088990922
11,12,EPC2307 | EPC,109.090909090909,163.636363636364,200,8,10,343,0.507954223047087,3492.86186048875,21.5528727272727,3514.41473321602,98.8420929739679,66,528,4605.61473321602
11,12,GS-065-060-5-T-A | Infineon / GaN Systems,109.090909090909,163.636363636364,650,7,32,127,0.466653777474796,12773.8948040731,6.98269090909091,12780.8774949822,95.9137919180538,66,462,13845.6774949822
11,12,GS-065-060-5-T-A | Infineon / GaN Systems,109.090909090909,163.636363636364,650,8,32,127,0.466653777474796,11177.157953564,7.98021818181818,11185.1381717458,96.4056322749023,66,528,12276.3381717458
11,12,LMG3522R030-Q1 | Texas Instruments,109.090909090909,163.636363636364,650,8,35,235,0.328022536107702,12225.0165117106,14.7665454545455,12239.7830571652,96.0800052647602,66,528,13330.9830571652
12,13,EPC2305 | EPC,100,150,150,4,3,852,0.588425128164492,2286.23685413809,24.5376,2310.77445413809,99.235629474897,72,288,3385.97445413809
12,13,EPC2305 | EPC,100,150,150,5,3,852,0.588425128164492,1828.98948331047,30.672,1859.66148331047,99.3839317667779,72,360,2963.66148331047
12,13,EPC2305 | EPC,100,150,150,6,3,852,0.588425128164492,1524.15790275873,36.8064,1560.96430275873,99.4823718957233,72,432,2693.76430275873
12,13,EPC2305 | EPC,100,150,150,7,3,852,0.588425128164492,1306.42105950748,42.9408,1349.36185950748,99.5522267406902,72,504,2510.96185950748
12,13,EPC2305 | EPC,100,150,150,8,3,852,0.588425128164492,1143.11842706904,49.0752,1192.19362706904,99.6041751239592,72,576,2382.59362706904
12,13,INN150FQ032A | Innoscience,100,150,150,5,3.9,900,0.502132205835029,2377.68632830361,32.4,2410.08632830361,99.2030403623221,72,360,3514.08632830361
12,13,INN150FQ032A | Innoscience,100,150,150,6,3.9,900,0.502132205835029,1981.40527358634,38.88,2020.28527358634,99.3310762978201,72,432,3153.08527358634
12,13,INN150FQ032A | Innoscience,100,150,150,7,3.9,900,0.502132205835029,1698.34737735972,45.36,1743.70737735972,99.4221230353019,72,504,2905.30737735972
12,13,INN150FQ032A | Innoscience,100,150,150,8,3.9,900,0.502132205835029,1486.05395518976,51.84,1537.89395518976,99.4899831875133,72,576,2728.29395518976
12,13,GANE3R9-150QBA | Nexperia,100,150,150,5,3.9,900,0.502132205835029,2377.68632830361,32.4,2410.08632830361,99.2030403623221,72,360,3514.08632830361
12,13,GANE3R9-150QBA | Nexperia,100,150,150,6,3.9,900,0.502132205835029,1981.40527358634,38.88,2020.28527358634,99.3310762978201,72,432,3153.08527358634
12,13,GANE3R9-150QBA | Nexperia,100,150,150,7,3.9,900,0.502132205835029,1698.34737735972,45.36,1743.70737735972,99.4221230353019,72,504,2905.30737735972
12,13,GANE3R9-150QBA | Nexperia,100,150,150,8,3.9,900,0.502132205835029,1486.05395518976,51.84,1537.89395518976,99.4899831875133,72,576,2728.29395518976
12,13,EPC2308 | EPC,100,150,150,7,6,401,0.606490250490599,2612.84211901496,20.2104,2633.05251901496,99.1299520997134,72,504,3794.65251901496
12,13,EPC2308 | EPC,100,150,150,8,6,401,0.606490250490599,2286.23685413809,23.0976,2309.33445413809,99.2361021672361,72,576,3499.73445413809
12,13,EPC2304 | EPC,100,150,200,4,5,704,0.501418442566141,3810.39475689682,20.2752,3830.66995689682,98.7392089292894,72,288,4905.86995689682
12,13,EPC2304 | EPC,100,150,200,5,5,704,0.501418442566141,3048.31580551745,25.344,3073.65980551745,98.9858373678894,72,360,4177.65980551745
12,13,EPC2304 | EPC,100,150,200,6,5,704,0.501418442566141,2540.26317126454,30.4128,2570.67597126454,99.1503882644897,72,432,3703.47597126454
12,13,EPC2304 | EPC,100,150,200,7,5,704,0.501418442566141,2177.36843251247,35.4816,2212.85003251247,99.2677842678515,72,504,3374.45003251247
12,13,EPC2304 | EPC,100,150,200,8,5,704,0.501418442566141,1905.19737844841,40.5504,1945.74777844841,99.3555968935598,72,576,3136.14777844841
12,13,EPC2307 | EPC,100,150,200,7,10,343,0.507954223047087,4354.73686502493,17.2872,4372.02406502493,98.5635920126184,72,504,5533.62406502493
12,13,EPC2307 | EPC,100,150,200,8,10,343,0.507954223047087,3810.39475689682,19.7568,3830.15155689682,98.7393773997511,72,576,5020.55155689682
12,13,GS-065-060-5-T-A | Infineon / GaN Systems,100,150,650,7,32,127,0.466653777474796,13935.1579680798,6.4008,13941.5587680798,95.5591866133343,72,504,15103.1587680798
12,13,GS-065-060-5-T-A | Infineon / GaN Systems,100,150,650,8,32,127,0.466653777474796,12193.2632220698,7.3152,12200.5784220698,96.0920705260272,72,576,13390.9784220698
12,13,LMG3522R030-Q1 | Texas Instruments,100,150,650,8,35,235,0.328022536107702,13336.3816491389,13.536,13349.9176491389,95.7396134808987,72,576,14540.3176491389
