Cells,Levels,DeviceVendor,Vcell_V,Required_Device_V,Device_V,Parallel,RDSon_mOhm,Coss_pF,D_FOM_norm,Pcond_W,Psw_W,Psemi_W,Efficiency_pct,Gate_Drivers,Total_Devices,Practical_Score_W
3,4,GS-065-060-5-T-A | Infineon / GaN Systems,400,600,650,8,32,127,0.466653777474796,3048.31580551745,29.2608,3077.57660551745,98.9845581319521,18,144,3375.17660551745
4,5,GS-065-060-5-T-A | Infineon / GaN Systems,300,450,650,8,32,127,0.466653777474796,4064.42107402327,21.9456,4086.36667402327,98.6561822160203,24,192,4483.16667402327
5,6,GS-065-060-5-T-A | Infineon / GaN Systems,240,360,650,8,32,127,0.466653777474796,5080.52634252909,17.55648,5098.08282252909,98.329034789283,30,240,5594.08282252909
6,7,GS-065-060-5-T-A | Infineon / GaN Systems,200,300,650,8,32,127,0.466653777474796,6096.63161103491,14.6304,6111.26201103491,98.003581452415,36,288,6706.46201103491
7,8,GS-065-060-5-T-A | Infineon / GaN Systems,171.428571428571,257.142857142857,650,8,32,127,0.466653777474796,7112.73687954072,12.5403428571429,7125.27722239787,97.680009510504,42,336,7819.67722239787
8,9,GS-065-060-5-T-A | Infineon / GaN Systems,150,225,650,8,32,127,0.466653777474796,8128.84214804654,10.9728,8139.81494804654,97.3584020781544,48,384,8933.41494804654
9,10,EPC2304 | EPC,133.333333333333,200,200,8,5,704,0.501418442566141,1428.89803383631,54.0672,1482.96523383631,99.5081097757261,54,432,2375.76523383631
10,11,EPC2304 | EPC,120,180,200,8,5,704,0.501418442566141,1587.66448204034,48.66048,1636.32496204034,99.4575172727468,60,480,2628.32496204034
11,12,EPC2304 | EPC,109.090909090909,163.636363636364,200,8,5,704,0.501418442566141,1746.43093024437,44.2368,1790.66773024437,99.4066523846771,66,528,2881.86773024437
12,13,EPC2305 | EPC,100,150,150,8,3,852,0.588425128164492,1143.11842706904,49.0752,1192.19362706904,99.6041751239592,72,576,2382.59362706904
