Levels,Cells,Required_Device_V,Ideal_GaN_DFOM_Rel,Best_Available_DFOM_per_Cell,Best_Loss_W,Best_Score_W,Best_Efficiency_pct,Best_Device_V,Best_Parallel,Best_Device
2,1,1440,1,NaN,NaN,NaN,NaN,NaN,NaN,
3,2,720,1.14869835499704,NaN,NaN,NaN,NaN,NaN,NaN,
4,3,480,1.24573093961552,0.155551259158265,NaN,NaN,NaN,NaN,NaN,
5,4,360,1.31950791077289,0.116663444368699,NaN,NaN,NaN,NaN,NaN,
6,5,288,1.37972966146121,0.0933307554949591,NaN,NaN,NaN,NaN,NaN,
7,6,240,1.43096908110526,0.0777756295791326,NaN,NaN,NaN,NaN,NaN,
8,7,205.714285714286,1.47577316159455,0.0666648253535422,NaN,NaN,NaN,NaN,NaN,
9,8,180,1.5157165665104,0.0695342271205968,1739.12798084303,2494.32798084303,99.4236319324972,200,6,EPC2304 | EPC
10,9,160,1.55184557391536,0.0674298572869267,1945.74777844841,2795.34777844841,99.3555968935598,200,6,EPC2304 | EPC
11,10,144,1.58489319246111,0.0671960275793813,1314.29926563227,2258.29926563227,99.5638111869116,150,6,EPC2305 | EPC
12,11,130.909090909091,1.61539426620218,0.0610872977994376,1437.29718055914,2475.69718055914,99.5231853543,150,6,EPC2305 | EPC
13,12,120,1.64375182951723,0.0576374190268099,1560.96430275873,2693.76430275873,99.4823718957233,150,6,EPC2305 | EPC
14,13,110.769230769231,1.67027765233481,0.053203771409363,1685.14619978349,2912.34619978349,99.4414222174971,150,6,EPC2305 | EPC
15,14,102.857142857143,1.69521820307244,0.0494035020229799,1809.73256274232,3131.33256274232,99.4003730272793,150,6,EPC2305 | EPC
16,15,96,1.71877192758748,0.0666666666666667,670.282432816136,2086.28243281614,99.7770706079122,100,6,EPC2361 | EPC
17,16,90,1.74110112659225,0.0625,710.419112337212,2220.81911233721,99.7637530769854,100,6,EPC2361 | EPC
18,17,84.7058823529412,1.76234034783232,0.0588235294117647,750.81473774064,2355.61473774064,99.7503532157027,100,6,EPC2361 | EPC
19,18,80,1.782602457966,0.0555555555555556,791.426151379363,2490.62615137936,99.7368854021188,100,6,EPC2361 | EPC
20,19,75.7894736842105,1.80198312731714,0.0526315789473684,832.219281426755,2625.81928142675,99.7233609872591,100,6,EPC2361 | EPC
