Label;Year;Voltage_V;Power_kW;Category
Bertelshofer et al.;2019;400;150;Research
Taha et al.;2021;400;120;Research
Taha et al.;2021;800;120;Research
Absar et al.;2021;400;100;Research
Absar et al.;2021;800;100;Research
UT Austin;2021;800;300;Research
U. Bristol;2021;1200;100;Research
VisIC ;2020;800;100;Research
PoliTo / NEV;2022;800;400;Research
McMaster ARC;2024;800;100;Research
U. Arkansas;2023;1000;200;Research
NXP ref.;2023;800;200;Industrial / reference
Ayaz et al.;2026;1200;250;Research
Bosch Gen4;2026;400;250;Industrial / reference
Bosch Gen4;2026;800;350;Industrial / reference
ZF platform;2026;400;100;Industrial / reference
ZF platform;2026;800;200;Industrial / reference
Wolfspeed;2023;800;300;Industrial / reference
Infineon eCAV;2026;800;250;Industrial / reference
AVL PI850e;2026;800;250;Industrial / reference
Motion IPG5;2026;800;400;Industrial / reference
Punch IV5;2026;800;600;Industrial / reference
Saykal;2026;400;240;Industrial / reference
Saykal;2026;800;240;Industrial / reference
Polestar 2 Perf.;2026;400;350;Production vehicle
BMW i4 M50;2025;400;400;Production vehicle
Mercedes EQS 580;2023;400;385;Production vehicle
Mustang Mach-E GT;2025;400;358;Production vehicle
Hyundai IONIQ 5 N;2026;800;478;Production vehicle
Kia EV6 GT;2026;800;478;Production vehicle
Volvo EX90 Perf.;2026;800;500;Production vehicle
Audi RS e-tron GT Perf.;2025;800;680;Production vehicle
Porsche Taycan Turbo S;2026;800;700;Production vehicle
 ;2022;900;828;Production vehicle
